id,smirks,sources
EVODEX.2-D15,[#6:11]-[#6@@:12](-[#8:13]-[#1])(-[#6:14]=[#8:15])-[#1]>>[#6:11]-[#6:12](=[#8:13])-[#6:14]=[#8:15],"EVODEX.2-P102,EVODEX.2-P109,EVODEX.2-P110,EVODEX.2-P25,EVODEX.2-P34,EVODEX.2-P40,EVODEX.2-P47,EVODEX.2-P6017,EVODEX.2-P6018,EVODEX.2-P6021,EVODEX.2-P6022,EVODEX.2-P63,EVODEX.2-P87"
EVODEX.2-D1237,[#6:5]-[#6@@:6](-[#7:7])(-[#6:8]=[#8:9])-[#1:21]>>[#6:5]-[#6@:6](-[#7:7])(-[#6:8]=[#8:9])-[#1:21],"EVODEX.2-P6006,EVODEX.2-P6007,EVODEX.2-P6008,EVODEX.2-P6012,EVODEX.2-P6013,EVODEX.2-P6014,EVODEX.2-P6015,EVODEX.2-P6016,EVODEX.2-P6019,EVODEX.2-P6020"
EVODEX.2-D60,[#6:2]1:[#6:3]:[#6:4](:[#6:5]:[#6:7]:[#6:8]:1)-[#1]>>[#6:2]1:[#6:3]:[#6:4](-[#8]-[#1]):[#6:5]:[#6:7]:[#6:8]:1,"EVODEX.2-P198,EVODEX.2-P199,EVODEX.2-P432,EVODEX.2-P439,EVODEX.2-P519,EVODEX.2-P530,EVODEX.2-P538,EVODEX.2-P539,EVODEX.2-P546,EVODEX.2-P552"
EVODEX.2-D81,[#6:8](-[#6@:6])(-[#6:9]=[#8:10])(-[#1:37])-[#1]>>[#6:8](-[#6@:6])(-[#6:9]=[#8:10])(-[#8]-[#1])-[#1:37],"EVODEX.2-P2506,EVODEX.2-P258,EVODEX.2-P264,EVODEX.2-P303,EVODEX.2-P311,EVODEX.2-P317,EVODEX.2-P325,EVODEX.2-P329,EVODEX.2-P3341,EVODEX.2-P336"
EVODEX.2-D753,[#15:2](=[#8:3])-[#8:5]-[#6]1:[#6](:[#6](:[#6](-[#7&+](=[#8])-[#8&-]):[#6](:[#6]:1-[#1])-[#1])-[#1])-[#1]>>[#15:2](=[#8:3])-[#8:5]-[#1],"EVODEX.2-P3403,EVODEX.2-P3405,EVODEX.2-P3627,EVODEX.2-P3630,EVODEX.2-P3714,EVODEX.2-P3724,EVODEX.2-P3763,EVODEX.2-P3765,EVODEX.2-P3766"
EVODEX.2-D53,[#6:15]-[#6:16](-[#6:17])(-[#1:36])-[#1]>>[#6:15]-[#6:16](-[#6:17])(-[#8]-[#1])-[#1:36],"EVODEX.2-P189,EVODEX.2-P204,EVODEX.2-P211,EVODEX.2-P367,EVODEX.2-P380,EVODEX.2-P620,EVODEX.2-P701"
EVODEX.2-D300,[#6:2]=[#6:4](-[#6:5])-[#1]>>[#6:2]=[#6:4](-[#6:5])-[#6](-[#1])(-[#1])-[#1],"EVODEX.2-P1377,EVODEX.2-P2593,EVODEX.2-P2601,EVODEX.2-P2603,EVODEX.2-P2610,EVODEX.2-P2617"
EVODEX.2-D1000,[#6](-[#16]-[#6](-[#6](-[#6@](-[#7](-[#6](=[#8])-[#1])-[#1])(-[#6](=[#8])-[#7:11](-[#6@@:12])-[#1])-[#1])(-[#1])-[#1])(-[#1])-[#1])(-[#1])(-[#1])-[#1]>>[#7:11](-[#6@@:12])(-[#1])-[#1],"EVODEX.2-P4398,EVODEX.2-P4399,EVODEX.2-P4411,EVODEX.2-P4413,EVODEX.2-P4414"
EVODEX.2-D1001,[#6](-[#6](=[#8])-[#7](-[#6@@](-[#6](-[#1])(-[#1])-[#1])(-[#6](=[#8])-[#7:9](-[#6@@:10])-[#1])-[#1])-[#1])(-[#1])(-[#1])-[#1]>>[#7:9](-[#6@@:10])(-[#1])-[#1],"EVODEX.2-P4400,EVODEX.2-P4403,EVODEX.2-P4404,EVODEX.2-P4407,EVODEX.2-P4410"
EVODEX.2-D1002,[#7:15](-[#6@:8])(-[#6](=[#8])-[#6@@]1(-[#6](-[#6](-[#6](=[#8])-[#7]-1-[#1])(-[#1])-[#1])(-[#1])-[#1])-[#1])-[#1]>>[#7:15](-[#6@:8])(-[#1])-[#1],"EVODEX.2-P4419,EVODEX.2-P4420,EVODEX.2-P4421,EVODEX.2-P4424,EVODEX.2-P4428"
EVODEX.2-D1003,[#7:7](-[#6@:6])(-[#6](=[#8])-[#6](-[#6@](-[#7](-[#1])-[#1])(-[#6](=[#8])-[#8]-[#1])-[#1])(-[#1])-[#1])-[#1]>>[#7:7](-[#6@:6])(-[#1])-[#1],"EVODEX.2-P4430,EVODEX.2-P4431,EVODEX.2-P4432,EVODEX.2-P4434,EVODEX.2-P5374"
EVODEX.2-D1004,[#6:28](-[#6@@:20])(=[#8:29])-[#8]-[#1]>>[#6](-[#6@](-[#7](-[#6:28](-[#6@@:20])=[#8:29])-[#1])(-[#6](=[#8])-[#8]-[#1])-[#1])(-[#1])(-[#1])-[#1],"EVODEX.2-P4444,EVODEX.2-P6351,EVODEX.2-P6467,EVODEX.2-P6816,EVODEX.2-P6821"
EVODEX.2-D1006,[#8:13]=[#6:14](-[#8]-[#1])-[#6:16]>>[#7](-[#6@@](-[#6](-[#6]1:[#6](:[#6](:[#6](:[#6](:[#6]:1-[#1])-[#1])-[#1])-[#1])-[#1])(-[#1])-[#1])(-[#6](=[#8])-[#8]-[#1])-[#1])(-[#6:14](=[#8:13])-[#6:16])-[#1],"EVODEX.2-P4449,EVODEX.2-P5494,EVODEX.2-P6609,EVODEX.2-P6614,EVODEX.2-P6823"
EVODEX.2-D1007,[#6:33](-[#6@@:25])(=[#8:34])-[#7](-[#6]1:[#6](:[#6](:[#6](-[#7&+](=[#8])-[#8&-]):[#6](-[#6](=[#8])-[#8]-[#1]):[#6]:1-[#1])-[#1])-[#1])-[#1]>>[#6:33](-[#6@@:25])(=[#8:34])-[#8]-[#1],"EVODEX.2-P4450,EVODEX.2-P4456,EVODEX.2-P4461,EVODEX.2-P4467,EVODEX.2-P4476"
EVODEX.2-D1010,[#6:50](-[#6@@:41])(=[#8:51])-[#7](-[#6]1:[#6](:[#6](:[#6](-[#7&+](=[#8])-[#8&-]):[#6](-[#6](-[#7](-[#1])-[#1])=[#8]):[#6]:1-[#1])-[#1])-[#1])-[#1]>>[#6:50](-[#6@@:41])(=[#8:51])-[#8]-[#1],"EVODEX.2-P4479,EVODEX.2-P4539,EVODEX.2-P4543,EVODEX.2-P4670,EVODEX.2-P4673"
