id,mass,sources,formula_diff
EVODEX.2-M1,0.0,"EVODEX.2-P1491,EVODEX.2-P1493,EVODEX.2-P1501,EVODEX.2-P1881,EVODEX.2-P1882,EVODEX.2-P1885,EVODEX.2-P1887,EVODEX.2-P1889,EVODEX.2-P1894,EVODEX.2-P1896,EVODEX.2-P1897,EVODEX.2-P1898,EVODEX.2-P1900,EVODEX.2-P201,EVODEX.2-P206,EVODEX.2-P208,EVODEX.2-P209,EVODEX.2-P3394,EVODEX.2-P3454,EVODEX.2-P3482,EVODEX.2-P3484,EVODEX.2-P3488,EVODEX.2-P3491,EVODEX.2-P3492,EVODEX.2-P3493,EVODEX.2-P3494,EVODEX.2-P3495,EVODEX.2-P3497,EVODEX.2-P3499,EVODEX.2-P3501,EVODEX.2-P3503,EVODEX.2-P3534,EVODEX.2-P3617,EVODEX.2-P3618,EVODEX.2-P3622,EVODEX.2-P3626,EVODEX.2-P3719,EVODEX.2-P3721,EVODEX.2-P3727,EVODEX.2-P3732,EVODEX.2-P3986,EVODEX.2-P3987,EVODEX.2-P3988,EVODEX.2-P3993,EVODEX.2-P3995,EVODEX.2-P4975,EVODEX.2-P5555,EVODEX.2-P5556,EVODEX.2-P5559,EVODEX.2-P5562,EVODEX.2-P5563,EVODEX.2-P5564,EVODEX.2-P5565,EVODEX.2-P5568,EVODEX.2-P5570,EVODEX.2-P5571,EVODEX.2-P5636,EVODEX.2-P5764,EVODEX.2-P5766,EVODEX.2-P5768,EVODEX.2-P5769,EVODEX.2-P5772,EVODEX.2-P5775,EVODEX.2-P5776,EVODEX.2-P5778,EVODEX.2-P5781,EVODEX.2-P5782,EVODEX.2-P5783,EVODEX.2-P5785,EVODEX.2-P5786,EVODEX.2-P5809,EVODEX.2-P5810,EVODEX.2-P5816,EVODEX.2-P5817,EVODEX.2-P5819,EVODEX.2-P5821,EVODEX.2-P5823,EVODEX.2-P5825,EVODEX.2-P5833,EVODEX.2-P5836,EVODEX.2-P5838,EVODEX.2-P5839,EVODEX.2-P5840,EVODEX.2-P5842,EVODEX.2-P5843,EVODEX.2-P5844,EVODEX.2-P5847,EVODEX.2-P5848,EVODEX.2-P585,EVODEX.2-P5850,EVODEX.2-P5856,EVODEX.2-P5862,EVODEX.2-P5864,EVODEX.2-P5865,EVODEX.2-P5868,EVODEX.2-P5870,EVODEX.2-P5872,EVODEX.2-P5873,EVODEX.2-P5875,EVODEX.2-P5879,EVODEX.2-P5880,EVODEX.2-P5882,EVODEX.2-P5883,EVODEX.2-P5887,EVODEX.2-P5891,EVODEX.2-P5892,EVODEX.2-P5893,EVODEX.2-P5895,EVODEX.2-P5896,EVODEX.2-P5899,EVODEX.2-P5901,EVODEX.2-P5902,EVODEX.2-P5903,EVODEX.2-P5905,EVODEX.2-P5906,EVODEX.2-P5910,EVODEX.2-P5912,EVODEX.2-P5913,EVODEX.2-P5914,EVODEX.2-P5915,EVODEX.2-P5920,EVODEX.2-P5922,EVODEX.2-P5923,EVODEX.2-P5924,EVODEX.2-P5925,EVODEX.2-P5926,EVODEX.2-P5929,EVODEX.2-P5930,EVODEX.2-P5935,EVODEX.2-P5938,EVODEX.2-P5940,EVODEX.2-P5941,EVODEX.2-P5944,EVODEX.2-P5946,EVODEX.2-P5947,EVODEX.2-P5949,EVODEX.2-P5950,EVODEX.2-P5951,EVODEX.2-P5953,EVODEX.2-P5954,EVODEX.2-P5955,EVODEX.2-P5959,EVODEX.2-P5961,EVODEX.2-P5962,EVODEX.2-P5965,EVODEX.2-P5966,EVODEX.2-P5967,EVODEX.2-P5970,EVODEX.2-P5971,EVODEX.2-P5973,EVODEX.2-P5974,EVODEX.2-P5975,EVODEX.2-P5976,EVODEX.2-P5977,EVODEX.2-P5978,EVODEX.2-P5979,EVODEX.2-P5981,EVODEX.2-P5983,EVODEX.2-P5984,EVODEX.2-P5986,EVODEX.2-P5987,EVODEX.2-P5989,EVODEX.2-P5990,EVODEX.2-P5992,EVODEX.2-P5998,EVODEX.2-P6000,EVODEX.2-P6003,EVODEX.2-P6005,EVODEX.2-P6006,EVODEX.2-P6007,EVODEX.2-P6008,EVODEX.2-P6012,EVODEX.2-P6013,EVODEX.2-P6014,EVODEX.2-P6015,EVODEX.2-P6016,EVODEX.2-P6017,EVODEX.2-P6018,EVODEX.2-P6019,EVODEX.2-P6020,EVODEX.2-P6021,EVODEX.2-P6022,EVODEX.2-P6027,EVODEX.2-P6028,EVODEX.2-P6029,EVODEX.2-P6030,EVODEX.2-P6031",{}
EVODEX.2-M185,208.08486000000002,"EVODEX.2-P2579,EVODEX.2-P2742,EVODEX.2-P2743,EVODEX.2-P2757,EVODEX.2-P2758","{""C"": 10, ""H"": 12, ""N"": 2, ""O"": 3}"
EVODEX.2-M186,250.09416000000002,"EVODEX.2-P2340,EVODEX.2-P2346,EVODEX.2-P2354,EVODEX.2-P2359,EVODEX.2-P2368","{""C"": 10, ""H"": 12, ""N"": 5, ""O"": 3}"
EVODEX.2-M29,329.05266,"EVODEX.2-P1303,EVODEX.2-P250,EVODEX.2-P2893,EVODEX.2-P3169,EVODEX.2-P3173,EVODEX.2-P3199,EVODEX.2-P3201,EVODEX.2-P3203,EVODEX.2-P3205,EVODEX.2-P3227,EVODEX.2-P6199,EVODEX.2-P6205,EVODEX.2-P6215,EVODEX.2-P6216,EVODEX.2-P6955","{""C"": 10, ""H"": 12, ""N"": 5, ""O"": 6, ""P"": 1}"
EVODEX.2-M187,345.04756,"EVODEX.2-P3154,EVODEX.2-P3156,EVODEX.2-P3166,EVODEX.2-P3198,EVODEX.2-P3209","{""C"": 10, ""H"": 12, ""N"": 5, ""O"": 7, ""P"": 1}"
EVODEX.2-M189,251.10199,"EVODEX.2-P2819,EVODEX.2-P2834,EVODEX.2-P2836,EVODEX.2-P2978,EVODEX.2-P2980","{""C"": 10, ""H"": 13, ""N"": 5, ""O"": 3}"
EVODEX.2-M97,267.09689,"EVODEX.2-P2820,EVODEX.2-P2822,EVODEX.2-P2823,EVODEX.2-P2824,EVODEX.2-P2825,EVODEX.2-P2826,EVODEX.2-P2831,EVODEX.2-P2882,EVODEX.2-P2883,EVODEX.2-P2884","{""C"": 10, ""H"": 13, ""N"": 5, ""O"": 4}"
EVODEX.2-M190,242.09032000000002,"EVODEX.2-P2827,EVODEX.2-P2990,EVODEX.2-P2991,EVODEX.2-P2992,EVODEX.2-P2994","{""C"": 10, ""H"": 14, ""N"": 2, ""O"": 5}"
EVODEX.2-M191,331.06831999999997,"EVODEX.2-P782,EVODEX.2-P784,EVODEX.2-P793,EVODEX.2-P798,EVODEX.2-P815","{""C"": 10, ""H"": 14, ""N"": 5, ""O"": 6, ""P"": 1}"
EVODEX.2-M56,347.06322,"EVODEX.2-P1304,EVODEX.2-P2811,EVODEX.2-P2812,EVODEX.2-P2879,EVODEX.2-P3030,EVODEX.2-P3106,EVODEX.2-P3110,EVODEX.2-P3113,EVODEX.2-P3136,EVODEX.2-P3140","{""C"": 10, ""H"": 14, ""N"": 5, ""O"": 7, ""P"": 1}"
