Reference,Deform_rig,Rot_offset_value,Rot_offset_axis,ue2rigify_template,Controllers
RightArm,Avatar_RightArm,,,,
RightForeArm,Avatar_RightForeArm,,,,
RightHand,Avatar_RightHand,,,,
LeftArm,Avatar_LeftArm,,,,
LeftForeArm,Avatar_LeftForeArm,,,,
LeftHand,Avatar_LeftHand,,,,
Hips,Avatar_Hips,,,,
Spine,Avatar_Spine,,,,
Spine1,Avatar_Spine1,,,,
Head,Avatar_Neck,,,,
RightUpLeg,Avatar_RightUpLeg,,,,
RightLeg,Avatar_RightLeg,,,,
RightFoot,Avatar_RightFoot,,,,
LeftUpLeg,Avatar_LeftUpLeg,,,,
LeftLeg,Avatar_LeftLeg,,,,
LeftFoot,Avatar_LeftFoot,,,,
LeftToeBase,Avatar_LeftToeBase,,,,
RightToeBase,Avatar_RightToeBase,,,,
RightShoulder,Avatar_RightShoulder,,,,
LeftShoulder,Avatar_LeftShoulder,,,,
