Reference,Deform_rig,Rot_offset_value,Rot_offset_axis,,Controllers
thumb.01.R,RightHandThumb1,,,,
thumb.02.R,RightHandThumb2,,,,
thumb.03.R,RightHandThumb3,,,,
f_index.01.R,RightHandIndex1,,,,
f_index.02.R,RightHandIndex2,,,,
f_index.03.R,RightHandIndex3,,,,
f_middle.01.R,RightHandMiddle1,,,,
f_middle.02.R,RightHandMiddle2,,,,
f_middle.03.R,RightHandMiddle3,,,,
f_ring.01.R,RightHandRing1,,,,
f_ring.02.R,RightHandRing2,,,,
f_ring.03.R,RightHandRing3,,,,
f_pinky.01.R,RightHandPinky1,,,,
f_pinky.02.R,RightHandPinky2,,,,
f_pinky.03.R,RightHandPinky3,,,,
thumb.01.L,LeftHandThumb1,,,,
thumb.02.L,LeftHandThumb2,,,,
thumb.03.L,LeftHandThumb3,,,,
f_index.01.L,LeftHandIndex1,,,,
f_index.02.L,LeftHandIndex2,,,,
f_index.03.L,LeftHandIndex3,,,,
f_middle.01.L,LeftHandMiddle1,,,,
f_middle.02.L,LeftHandMiddle2,,,,
f_middle.03.L,LeftHandMiddle3,,,,
f_ring.01.L,LeftHandRing1,,,,
f_ring.02.L,LeftHandRing2,,,,
f_ring.03.L,LeftHandRing3,,,,
f_pinky.01.L,LeftHandPinky1,,,,
f_pinky.02.L,LeftHandPinky2,,,,
f_pinky.03.L,LeftHandPinky3,,,,
