Run,Best_Fitness
1,5.106128744542959e-02
2,2.928554361825442e-02
3,3.882604921164623e-02
4,2.237669604869297e-02
5,1.084977420322637e-01
6,6.993829181357791e-02
7,3.582803415994606e-02
8,3.962979898984864e-02
9,1.853353164051497e-02
10,5.842659580820264e-02
11,5.063394222523510e-02
12,1.784491046086589e-02
13,5.210001671320463e-03
14,3.520158190177936e-02
15,5.004982114998913e-02
16,1.100511412878705e-01
17,3.942339079000745e-02
18,3.569349022287649e-02
19,3.963544620795167e-02
20,5.817242793624822e-02
21,9.102991404328775e-02
22,2.989588542102628e-01
23,2.476297721251342e-02
24,6.529947188660712e-02
25,4.720412318636868e-02
26,1.322364538151750e-01
27,3.919077034389640e-02
28,6.737174569191573e-02
29,7.692079645765881e-02
30,4.415993474886615e-02

Statistics
Mean,6.004849220730245e-02
Median,4.568202896761742e-02
Std,5.269960173153138e-02
Min,5.210001671320463e-03
Max,2.989588542102628e-01
