source;target;kind;labels;risk
Hub front axle;Wheel front axle;dependency;mechanical;0.1
Steering knuckle front axle;Hub front axle;dependency;mechanical;0.3
Knuckle arm front axle;Steering knuckle front axle;dependency;mechanical;0.3
Frame front axle;Steering knuckle front axle;dependency;mechanical;0.3
Frame front axle;Knuckle arm front axle;dependency;mechanical;0.3
Steering actuation cylinder front axle;Knuckle arm front axle;dependency;mechanical;0.3
Tie rod front axle;Knuckle arm front axle;dependency;mechanical;0.3
Angle sensor front axle;Steering knuckle front axle;dependency;mechanical;0.3
Servo valve front axle;Steering actuation cylinder front axle;dependency;hydraulic;0.5
Wheel front axle;Hub front axle;dependency;mechanical;0.1
Hub front axle;Steering knuckle front axle;dependency;mechanical;0.3
Steering knuckle front axle;Knuckle arm front axle;dependency;mechanical;0.3
Steering knuckle front axle;Frame front axle;dependency;mechanical;0.3
Knuckle arm front axle;Frame front axle;dependency;mechanical;0.3
Knuckle arm front axle;Steering actuation cylinder front axle;dependency;mechanical;0.3
Knuckle arm front axle;Tie rod front axle;dependency;mechanical;0.3
Steering knuckle front axle;Angle sensor front axle;dependency;mechanical;0.3
Steering actuation cylinder front axle;Servo valve front axle;dependency;hydraulic;0.5
Angle sensor front axle;ECU;dependency;information;0.8
Engine;ECU;dependency;electrical;0.8
Speedometer;ECU;dependency;information;0.8
ECU;Servo valve front axle;dependency;electrical;0.8
Hydraulic oil reservoir;Pump front axle;dependency;hydraulic;0.8
Pump front axle;Servo valve front axle;dependency;hydraulic;0.3
Servo valve front axle;Pump front axle;dependency;hydraulic;0.3
Filter front axle;Cooler front axle;dependency;hydraulic;0.5
Cooler front axle;Hydraulic oil reservoir;dependency;hydraulic;0.8
Hub second axle;Wheel second axle;dependency;mechanical;0.1
Steering knuckle second axle;Hub second axle;dependency;mechanical;0.3
Knuckle arm second axle;Steering knuckle second axle;dependency;mechanical;0.3
Frame second axle;Steering knuckle second axle;dependency;mechanical;0.3
Frame second axle;Knuckle arm second axle;dependency;mechanical;0.3
Steering actuation cylinder second axle;Knuckle arm second axle;dependency;mechanical;0.3
Tie rod second axle;Knuckle arm second axle;dependency;mechanical;0.3
Angle sensor second axle;Steering knuckle second axle;dependency;mechanical;0.3
Servo valve second axle;Steering actuation cylinder second axle;dependency;hydraulic;0.5
Wheel second axle;Hub second axle;dependency;mechanical;0.1
Hub second axle;Steering knuckle second axle;dependency;mechanical;0.3
Steering knuckle second axle;Knuckle arm second axle;dependency;mechanical;0.3
Steering knuckle second axle;Frame second axle;dependency;mechanical;0.3
Knuckle arm second axle;Frame second axle;dependency;mechanical;0.3
Knuckle arm second axle;Steering actuation cylinder second axle;dependency;mechanical;0.3
Knuckle arm second axle;Tie rod second axle;dependency;mechanical;0.3
Steering knuckle second axle;Angle sensor second axle;dependency;mechanical;0.3
Steering actuation cylinder second axle;Servo valve second axle;dependency;hydraulic;0.5
Angle sensor second axle;ECU;dependency;information;0.8
ECU;Servo valve second axle;dependency;electrical;0.8
Hydraulic oil reservoir;Pump second axle;dependency;hydraulic;0.8
Pump second axle;Servo valve second axle;dependency;hydraulic;0.3
Servo valve second axle;Pump second axle;dependency;hydraulic;0.3
Filter second axle;Cooler second axle;dependency;hydraulic;0.5
Cooler second axle;Hydraulic oil reservoir;dependency;hydraulic;0.8
