T[K],M[A/m]
20,1160762.1515272781
40,1152764.5400310007
60,1144332.380219765
80,1136095.4237953024
100,1128134.3770932353
120,1119860.3612713865
140,1111776.4379368254
160,1102918.5036408827
180,1094392.0179862808
200,1085670.0637229132
220,1076778.8189782947
240,1067425.2851318931
260,1057970.9740963522
280,1048538.2105556937
300,1039913.8221449027
320,1029517.0770143275
340,1019718.1996010401
360,1010212.4068262292
380,1000827.0176680317
400,990071.556207981
420,977847.7971225987
440,967365.0340483808
460,957943.7467350367
480,945368.0882422123
500,933306.336785519
520,924042.8063808151
540,911156.5370934975
560,898923.208511885
580,886959.8687508807
600,874610.1865641675
620,859777.503248105
640,846674.7339648005
660,833341.8523459284
680,817215.3659713753
700,802915.5566480168
720,788770.8376770456
740,767322.5501562397
760,749504.3703885531
780,733715.2535571285
800,716555.5726879387
820,695546.6655400754
840,675931.6942220808
860,650394.9666717796
880,623964.1557125655
900,595267.1547182179
920,574337.7138139565
940,540677.0187090641
960,506480.06838946656
980,465749.379292539
1000,419581.9439880851
1020,363556.91470519727
1040,283780.87532888877
1060,116330.76590290079
1080,45920.08375439242
1100,28204.38382935804
1120,22252.026856963927
1140,18336.064488576154
1160,16018.356371591299
1180,14232.773604474278
1200,13649.496895921555
1220,12290.856952231034
1240,11386.305087895276
1260,10781.614355635964
1280,10306.540191844237
1300,9665.938831836247
1320,9395.092340648269
1340,8975.25861353735
1360,8438.063437752842
1380,8343.593729376009
1400,8102.7052808734015
1420,7747.898466936363
1440,7593.111901253035
1460,7321.3568455353325
1480,7307.022743725107
1500,7047.922511681028
1520,7129.1648394468675
1540,6674.613116207712
1560,6599.177264859741
1580,6616.13202518179
1600,12484.210164717862
