id,label,id_label,color
1,CLA-EPd-CTX Car3 Glut_1,0001 CLA-EPd-CTX Car3 Glut_1,#99822E
2,CLA-EPd-CTX Car3 Glut_2,0002 CLA-EPd-CTX Car3 Glut_2,#170F66
3,IT EP-CLA Glut_1,0003 IT EP-CLA Glut_1,#994563
4,IT EP-CLA Glut_2,0004 IT EP-CLA Glut_2,#1F4666
5,IT EP-CLA Glut_3,0005 IT EP-CLA Glut_3,#694599
6,IT EP-CLA Glut_4,0006 IT EP-CLA Glut_4,#5CAACC
7,L5/6 IT TPE-ENT Glut_1,0007 L5/6 IT TPE-ENT Glut_1,#2E3966
8,L5/6 IT TPE-ENT Glut_2,0008 L5/6 IT TPE-ENT Glut_2,#00B2CC
9,L5/6 IT TPE-ENT Glut_3,0009 L5/6 IT TPE-ENT Glut_3,#172C99
10,L5/6 IT TPE-ENT Glut_4,0010 L5/6 IT TPE-ENT Glut_4,#990073
11,L5/6 IT TPE-ENT Glut_5,0011 L5/6 IT TPE-ENT Glut_5,#99172F
12,L5/6 IT TPE-ENT Glut_6,0012 L5/6 IT TPE-ENT Glut_6,#3B2E66
13,L6 IT CTX Glut_1,0013 L6 IT CTX Glut_1,#952E99
14,L6 IT CTX Glut_2,0014 L6 IT CTX Glut_2,#2E5266
15,L6 IT CTX Glut_3,0015 L6 IT CTX Glut_3,#661799
16,L6 IT CTX Glut_4,0016 L6 IT CTX Glut_4,#991759
17,L6 IT CTX Glut_5,0017 L6 IT CTX Glut_5,#6A992E
18,L5 IT CTX Glut_1,0018 L5 IT CTX Glut_1,#8D9917
19,L5 IT CTX Glut_2,0019 L5 IT CTX Glut_2,#456199
20,L5 IT CTX Glut_3,0020 L5 IT CTX Glut_3,#66530F
21,L5 IT CTX Glut_4,0021 L5 IT CTX Glut_4,#FFFE99
22,L5 IT CTX Glut_5,0022 L5 IT CTX Glut_5,#651F66
23,L4/5 IT CTX Glut_1,0023 L4/5 IT CTX Glut_1,#3B9900
24,L4/5 IT CTX Glut_2,0024 L4/5 IT CTX Glut_2,#4DFFA3
25,L4/5 IT CTX Glut_3,0025 L4/5 IT CTX Glut_3,#991768
26,L4/5 IT CTX Glut_4,0026 L4/5 IT CTX Glut_4,#0F6619
27,L4/5 IT CTX Glut_5,0027 L4/5 IT CTX Glut_5,#639917
28,L4/5 IT CTX Glut_6,0028 L4/5 IT CTX Glut_6,#009909
29,L2/3 IT CTX Glut_1,0029 L2/3 IT CTX Glut_1,#998817
30,L2/3 IT CTX Glut_2,0030 L2/3 IT CTX Glut_2,#CC7A8F
31,L2/3 IT CTX Glut_3,0031 L2/3 IT CTX Glut_3,#5C6899
32,L2/3 IT CTX Glut_4,0032 L2/3 IT CTX Glut_4,#5C9972
33,L2/3 IT ENT Glut_1,0033 L2/3 IT ENT Glut_1,#990030
34,L2/3 IT ENT Glut_2,0034 L2/3 IT ENT Glut_2,#5C998D
35,L2/3 IT ENT Glut_3,0035 L2/3 IT ENT Glut_3,#73F7FF
36,L2/3 IT ENT Glut_4,0036 L2/3 IT ENT Glut_4,#FF4DAE
37,L2/3 IT ENT Glut_5,0037 L2/3 IT ENT Glut_5,#FF99F9
38,L2/3 IT ENT Glut_6,0038 L2/3 IT ENT Glut_6,#179921
39,L2/3 IT PIR-ENTl Glut_1,0039 L2/3 IT PIR-ENTl Glut_1,#00FF39
40,L2/3 IT PIR-ENTl Glut_2,0040 L2/3 IT PIR-ENTl Glut_2,#995C77
41,L2/3 IT PIR-ENTl Glut_3,0041 L2/3 IT PIR-ENTl Glut_3,#66001D
42,L2/3 IT PIR-ENTl Glut_4,0042 L2/3 IT PIR-ENTl Glut_4,#280066
43,L2/3 IT PIR-ENTl Glut_5,0043 L2/3 IT PIR-ENTl Glut_5,#1FCC9A
44,L2/3 IT PIR-ENTl Glut_6,0044 L2/3 IT PIR-ENTl Glut_6,#B87ACC
45,L2/3 IT PIR-ENTl Glut_7,0045 L2/3 IT PIR-ENTl Glut_7,#5C8A99
46,IT AON-TT-DP Glut_1,0046 IT AON-TT-DP Glut_1,#8626FF
47,IT AON-TT-DP Glut_2,0047 IT AON-TT-DP Glut_2,#3D6652
48,IT AON-TT-DP Glut_3,0048 IT AON-TT-DP Glut_3,#C773FF
49,IT AON-TT-DP Glut_4,0049 IT AON-TT-DP Glut_4,#666400
50,IT AON-TT-DP Glut_5,0050 IT AON-TT-DP Glut_5,#1F3E66
51,L2 IT ENT-po Glut_1,0051 L2 IT ENT-po Glut_1,#5A2E99
52,L2 IT ENT-po Glut_2,0052 L2 IT ENT-po Glut_2,#992E57
53,L2 IT ENT-po Glut_3,0053 L2 IT ENT-po Glut_3,#5CCCBD
54,L2 IT ENT-po Glut_4,0054 L2 IT ENT-po Glut_4,#CC5CA0
55,MEA Slc17a7 Glut_1,0055 MEA Slc17a7 Glut_1,#A099FF
56,MEA Slc17a7 Glut_2,0056 MEA Slc17a7 Glut_2,#5CCCC9
57,MEA Slc17a7 Glut_3,0057 MEA Slc17a7 Glut_3,#7E5C99
58,COAp Grxcr2 Glut_1,0058 COAp Grxcr2 Glut_1,#82995C
59,COAp Grxcr2 Glut_2,0059 COAp Grxcr2 Glut_2,#330F66
60,LA-BLA-BMA-PA Glut_1,0060 LA-BLA-BMA-PA Glut_1,#99FFE5
61,LA-BLA-BMA-PA Glut_2,0061 LA-BLA-BMA-PA Glut_2,#99174B
62,LA-BLA-BMA-PA Glut_3,0062 LA-BLA-BMA-PA Glut_3,#992E6E
63,LA-BLA-BMA-PA Glut_4,0063 LA-BLA-BMA-PA Glut_4,#633D66
64,LA-BLA-BMA-PA Glut_5,0064 LA-BLA-BMA-PA Glut_5,#660F43
65,LA-BLA-BMA-PA Glut_6,0065 LA-BLA-BMA-PA Glut_6,#CC867A
66,ENTmv-PA-COAp Glut_1,0066 ENTmv-PA-COAp Glut_1,#99735C
67,ENTmv-PA-COAp Glut_2,0067 ENTmv-PA-COAp Glut_2,#CC6A3D
68,ENTmv-PA-COAp Glut_3,0068 ENTmv-PA-COAp Glut_3,#95CC7A
69,CA1-ProS Glut_1,0069 CA1-ProS Glut_1,#8800CC
70,CA1-ProS Glut_2,0070 CA1-ProS Glut_2,#4D9945
71,CA1-ProS Glut_3,0071 CA1-ProS Glut_3,#993E00
72,CA1-ProS Glut_4,0072 CA1-ProS Glut_4,#2E4999
