id,label,color
1,Car3 Glut_1,#3DCCB7
2,Car3 Glut_1,#456C99
3,Car3 Glut_1,#e54bd6
4,Car3 Glut_1,#99672E
5,Car3 Glut_2,#CC9E5C
6,IT EP-CLA Glut_1,#000FCC
7,IT EP-CLA Glut_1,#459899
8,IT EP-CLA Glut_1,#61CC5C
9,IT EP-CLA Glut_1,#B6FF73
10,IT EP-CLA Glut_1,#FF5526
11,IT EP-CLA Glut_1,#59204f
12,IT EP-CLA Glut_1,#FF737E
13,IT EP-CLA Glut_2,#CCBA3D
14,IT EP-CLA Glut_2,#72CC5C
15,IT EP-CLA Glut_2,#5C1799
16,IT EP-CLA Glut_2,#A4CC5C
17,IT EP-CLA Glut_2,#582E99
18,IT EP-CLA Glut_3,#992E46
19,IT EP-CLA Glut_3,#5F1FCC
20,IT EP-CLA Glut_3,#FF8A4D
21,IT EP-CLA Glut_4,#994D45
22,IT EP-CLA Glut_4,#A0FF73
23,L5/6 IT TPE-ENT Glut_1,#FF0044
24,L5/6 IT TPE-ENT Glut_1,#995545
25,L5/6 IT TPE-ENT Glut_1,#7ACC5C
26,L5/6 IT TPE-ENT Glut_2,#0015CC
27,L5/6 IT TPE-ENT Glut_2,#CC3D89
28,L5/6 IT TPE-ENT Glut_2,#d8d845
29,L5/6 IT TPE-ENT Glut_3,#FF7973
30,L5/6 IT TPE-ENT Glut_4,#995945
31,L5/6 IT TPE-ENT Glut_5,#490304
32,L5/6 IT TPE-ENT Glut_6,#A5FF4D
33,L6 IT CTX Glut_1,#060099
34,L6 IT CTX Glut_1,#CC0082
35,L6 IT CTX Glut_1,#CC231F
36,L6 IT CTX Glut_1,#CCC23D
37,L6 IT CTX Glut_1,#389917
38,L6 IT CTX Glut_2,#A55CCC
39,L6 IT CTX Glut_2,#CC211F
40,L6 IT CTX Glut_2,#81992E
41,L6 IT CTX Glut_2,#4DFF90
42,L6 IT CTX Glut_2,#3DCC6C
43,L6 IT CTX Glut_2,#CC005D
44,L6 IT CTX Glut_3,#268200
45,L6 IT CTX Glut_3,#780099
46,L6 IT CTX Glut_3,#FF7C00
47,L6 IT CTX Glut_3,#854D00
48,L6 IT CTX Glut_3,#CC1F2F
49,L6 IT CTX Glut_4,#00B300
50,L6 IT CTX Glut_4,#F0FF73
51,L6 IT CTX Glut_4,#7FFF73
52,L6 IT CTX Glut_4,#A000CC
53,L6 IT CTX Glut_5,#455A99
54,L6 IT CTX Glut_5,#86FF26
55,L5 IT CTX Glut_1,#42CC3D
56,L5 IT CTX Glut_1,#99522E
57,L5 IT CTX Glut_1,#1FCCB7
58,L5 IT CTX Glut_2,#0042CC
59,L5 IT CTX Glut_2,#9cc7ed
60,L5 IT CTX Glut_2,#F12600
61,L5 IT CTX Glut_3,#459980
62,L5 IT CTX Glut_3,#DFFF73
63,L5 IT CTX Glut_4,#4D5C00
64,L5 IT CTX Glut_4,#BE7300
65,L5 IT CTX Glut_5,#5A9917
66,L4/5 IT CTX Glut_1,#1FAACC
67,L4/5 IT CTX Glut_1,#26FFC2
68,L4/5 IT CTX Glut_1,#4DFFFA
69,L4/5 IT CTX Glut_1,#73AF00
70,L4/5 IT CTX Glut_1,#00FFBA
71,L4/5 IT CTX Glut_1,#CC5E5C
72,L4/5 IT CTX Glut_1,#459994
73,L4/5 IT CTX Glut_1,#952bce
74,L4/5 IT CTX Glut_1,#51d6c4
75,L4/5 IT CTX Glut_2,#99456B
76,L4/5 IT CTX Glut_2,#179926
77,L4/5 IT CTX Glut_2,#67CC5C
78,L4/5 IT CTX Glut_2,#757300
79,L4/5 IT CTX Glut_2,#BBFF4D
80,L4/5 IT CTX Glut_2,#ADCC5C
81,L4/5 IT CTX Glut_2,#cc044a
82,L4/5 IT CTX Glut_2,#3DCCC3
83,L4/5 IT CTX Glut_3,#26FF71
84,L4/5 IT CTX Glut_3,#8B4599
85,L4/5 IT CTX Glut_3,#C83DCC
86,L4/5 IT CTX Glut_3,#2c36f7
87,L4/5 IT CTX Glut_3,#FFE526
88,L4/5 IT CTX Glut_3,#f6c7fc
89,L4/5 IT CTX Glut_4,#CC00BA
90,L4/5 IT CTX Glut_4,#991D17
91,L4/5 IT CTX Glut_4,#00CC74
92,L4/5 IT CTX Glut_4,#FF0079
93,L4/5 IT CTX Glut_4,#5B2600
94,L4/5 IT CTX Glut_4,#3B0099
95,L4/5 IT CTX Glut_5,#624599
96,L4/5 IT CTX Glut_5,#56FF00
97,L4/5 IT CTX Glut_5,#3DCC97
98,L4/5 IT CTX Glut_5,#843374
99,L4/5 IT CTX Glut_5,#1F9900
100,L4/5 IT CTX Glut_6,#995F45
101,L4/5 IT CTX Glut_6,#28FF00
102,L4/5 IT CTX Glut_6,#FF4D82
103,L4/5 IT CTX Glut_6,#FFD073
104,L2/3 IT CTX Glut_1,#4F9945
105,L2/3 IT CTX Glut_1,#3DC2CC
106,L2/3 IT CTX Glut_1,#673DCC
107,L2/3 IT CTX Glut_1,#99172D
108,L2/3 IT CTX Glut_1,#455399
109,L2/3 IT CTX Glut_2,#1FCC41
110,L2/3 IT CTX Glut_2,#FF4DAC
111,L2/3 IT CTX Glut_2,#FA2600
112,L2/3 IT CTX Glut_2,#A4CC1F
113,L2/3 IT CTX Glut_3,#661FCC
114,L2/3 IT CTX Glut_3,#992E86
115,L2/3 IT CTX Glut_3,#3DCC8F
116,L2/3 IT CTX Glut_3,#006ACC
117,L2/3 IT CTX Glut_4,#995B45
118,L2/3 IT CTX Glut_4,#FFA54D
119,L2/3 IT CTX Glut_4,#BA1FCC
120,L2/3 IT CTX Glut_4,#73CA00
121,L2/3 IT ENT Glut_1,#5B2E99
122,L2/3 IT ENT Glut_1,#0FFF00
123,L2/3 IT ENT Glut_1,#99454D
124,L2/3 IT ENT Glut_2,#99004E
125,L2/3 IT ENT Glut_2,#737900
126,L2/3 IT ENT Glut_2,#68f9d3
127,L2/3 IT ENT Glut_3,#8FFF73
128,L2/3 IT ENT Glut_3,#CC8E3D
129,L2/3 IT ENT Glut_3,#CC5C78
130,L2/3 IT ENT Glut_4,#2E9900
131,L2/3 IT ENT Glut_4,#45998A
132,L2/3 IT ENT Glut_4,#f76ad1
133,L2/3 IT ENT Glut_5,#8A4599
134,L2/3 IT ENT Glut_5,#349917
135,L2/3 IT ENT Glut_5,#995145
136,L2/3 IT ENT Glut_6,#EEFF73
137,L2/3 IT ENT Glut_6,#5C5CCC
138,L2/3 IT ENTl-PIR Glut_1,#56FF4D
