Run,Best_Fitness
1,4.184949566167874e+01
2,3.282632512312585e+00
3,1.550384555223995e+01
4,2.290168978659408e+01
5,8.974742184379803e+00
6,1.595117876608329e+01
7,5.218886702598461e+01
8,3.244045490741920e+00
9,8.128512344271334e+00
10,2.989715802706088e+01
11,1.113371810724770e+01
12,1.446651465653282e+01
13,6.550339999049216e+01
14,2.931330095823312e+01
15,3.781912215054211e+01
16,3.486053435368311e+01
17,4.329841567374086e+01
18,1.336348211601529e+01
19,8.226058942558463e+00
20,2.185337875875235e+01
21,6.158887286441687e+01
22,2.660574177644537e+01
23,9.337453525773613e+00
24,2.847165357357327e+01
25,1.464090593539972e+02
26,3.792370983019482e+00
27,1.329886666510070e+01
28,6.416600102272670e+00
29,2.634156866048903e+01
30,1.135161983896460e+01

Statistics
Mean,2.717913001343993e+01
Median,1.890227876241782e+01
Std,2.769592260192829e+01
Min,3.244045490741920e+00
Max,1.464090593539972e+02
