id,nominal_diameter,thickness,circumscribed_diameter,inscribed_diameter,bearing_diameter
M4,0.004,0.0032,0.00766,0.007,0.0059
M5,0.005,0.0047,0.00879,0.008,0.0069
M6,0.006,0.0052,0.01105,0.01,0.0089
M8,0.008,0.0068,0.01438,0.013,0.0116
M10,0.01,0.0084,0.0189,0.017,0.0146
M12,0.012,0.0108,0.0211,0.019,0.0166
M14,0.014,0.0128,0.02449,0.022,0.0196
M16,0.016,0.0148,0.02675,0.024,0.0225
M18,0.018,0.0158,0.03014,0.027,0.0249
M20,0.02,0.018,0.03353,0.03,0.0277
M22,0.022,0.0194,0.03572,0.032,0.0314
M24,0.024,0.0215,0.03998,0.036,0.0333
M27,0.027,0.0238,0.0452,0.041,0.038
M30,0.03,0.0256,0.05085,0.046,0.0428
M33,0.033,0.0287,0.05537,0.05,0.0466
M36,0.036,0.031,0.06079,0.055,0.0511
M39,0.039,0.0334,0.06644,0.06,0.0559
M42,0.042,0.034,0.0713,0.065,0.06
M45,0.045,0.036,0.07695,0.07,0.0647
M48,0.048,0.038,0.0826,0.075,0.0695
M52,0.052,0.042,0.08825,0.08,0.0742
M56,0.056,0.045,0.09356,0.085,0.0787
M60,0.06,0.048,0.09921,0.09,0.0834
M64,0.064,0.051,0.10486,0.095,0.0882
M72,0.072,0.058,0.1162,0.105,0.0977
M80,0.08,0.064,0.1275,0.115,0.1072
M90,0.09,0.072,0.1441,0.13,0.1211
M100,0.1,0.08,0.16102,0.145,0.1354
