id,hole_diameter,outer_diameter,thickness
M4,0.0043,0.009,0.0008
M5,0.0053,0.01,0.001
M6,0.0064,0.012,0.0016
M8,0.0084,0.016,0.0016
M10,0.0105,0.02,0.002
M12,0.013,0.024,0.0025
M14,0.015,0.028,0.0025
M16,0.017,0.03,0.003
M18,0.019,0.034,0.003
M20,0.021,0.037,0.003
M22,0.023,0.039,0.003
M24,0.025,0.044,0.004
M27,0.028,0.05,0.004
M30,0.031,0.056,0.004
M33,0.034,0.06,0.005
M36,0.037,0.066,0.005
M39,0.04,0.072,0.006
M42,0.043,0.078,0.007
M45,0.046,0.085,0.007
M48,0.05,0.092,0.008
M52,0.054,0.098,0.008
M56,0.058,0.105,0.009
M60,0.062,0.11,0.009
M64,0.066,0.115,0.009
M72,0.074,0.125,0.01
M80,0.082,0.14,0.012
M90,0.093,0.16,0.012
M100,0.104,0.175,0.014
