Run,Best_Fitness
1,5.504289815120400e+03
2,4.289031686099883e+03
3,4.320573987834117e+03
4,5.006420021057091e+03
5,5.515821175981841e+03
6,4.093766222538607e+03
7,5.480721843419395e+03
8,4.578733614261259e+03
9,4.318879869159793e+03
10,5.627581235219072e+03
11,3.653194046407176e+03
12,4.097835491670930e+03
13,3.678249030196175e+03
14,4.102058010372124e+03
15,4.406025551925706e+03
16,3.693701679869086e+03
17,4.102489926670974e+03
18,4.405916391497167e+03
19,3.863350960800326e+03
20,4.512018979191545e+03
21,4.277356594604682e+03
22,3.626837354570727e+03
23,4.715302875526077e+03
24,4.344731732630604e+03
25,5.069838731658999e+03
26,3.956121520385903e+03
27,4.704631930390454e+03
28,3.907470897274916e+03
29,4.540210280833026e+03
30,3.711373865488966e+03

Statistics
Mean,4.403484510755235e+03
Median,4.319726928496955e+03
Std,5.771969498844844e+02
Min,3.626837354570727e+03
Max,5.627581235219072e+03
