EC,Cof_ID
1.1.1.1,NAD
1.1.1.10,NAD
1.1.1.100,NAD
1.1.1.100,PNS
1.1.1.101,NAD
1.1.1.102,NAD
1.1.1.103,NAD
1.1.1.104,NAD
1.1.1.105,NAD
1.1.1.106,NAD
1.1.1.107,NAD
1.1.1.108,NAD
1.1.1.11,NAD
1.1.1.110,NAD
1.1.1.111,NAD
1.1.1.112,NAD
1.1.1.113,NAD
1.1.1.114,NAD
1.1.1.115,NAD
1.1.1.116,NAD
1.1.1.117,NAD
1.1.1.118,NAD
1.1.1.119,NAD
1.1.1.12,NAD
1.1.1.120,NAD
1.1.1.121,NAD
1.1.1.122,NAD
1.1.1.123,NAD
1.1.1.124,NAD
1.1.1.125,NAD
1.1.1.126,NAD
1.1.1.127,NAD
1.1.1.128,NAD
1.1.1.129,NAD
1.1.1.13,NAD
1.1.1.130,NAD
1.1.1.131,NAD
1.1.1.132,NAD
1.1.1.133,NAD
1.1.1.134,NAD
1.1.1.135,NAD
1.1.1.136,NAD
1.1.1.137,NAD
1.1.1.138,NAD
1.1.1.14,NAD
1.1.1.140,NAD
1.1.1.141,NAD
1.1.1.142,NAD
1.1.1.143,NAD
1.1.1.144,NAD
1.1.1.145,NAD
1.1.1.146,NAD
1.1.1.147,NAD
1.1.1.148,NAD
1.1.1.149,NAD
1.1.1.15,NAD
1.1.1.150,NAD
1.1.1.151,NAD
1.1.1.152,NAD
1.1.1.153,NAD
1.1.1.154,NAD
1.1.1.156,NAD
1.1.1.157,NAD
1.1.1.158,FAD
1.1.1.158,NAD
1.1.1.159,NAD
1.1.1.16,NAD
1.1.1.160,NAD
1.1.1.161,NAD
1.1.1.162,NAD
1.1.1.163,NAD
1.1.1.164,NAD
1.1.1.165,NAD
1.1.1.166,NAD
1.1.1.167,NAD
1.1.1.168,NAD
1.1.1.169,NAD
1.1.1.17,NAD
1.1.1.170,NAD
1.1.1.172,NAD
1.1.1.173,NAD
1.1.1.174,NAD
1.1.1.175,NAD
1.1.1.176,NAD
1.1.1.177,NAD
1.1.1.178,NAD
1.1.1.179,NAD
1.1.1.18,NAD
1.1.1.181,NAD
1.1.1.183,NAD
1.1.1.184,NAD
1.1.1.185,NAD
1.1.1.186,NAD
1.1.1.187,NAD
1.1.1.188,NAD
1.1.1.189,NAD
1.1.1.19,NAD
1.1.1.190,NAD
1.1.1.191,NAD
1.1.1.192,NAD
1.1.1.193,NAD
1.1.1.194,NAD
1.1.1.195,NAD
1.1.1.196,NAD
1.1.1.197,NAD
1.1.1.198,NAD
1.1.1.199,NAD
1.1.1.2,NAD
1.1.1.20,NAD
1.1.1.200,NAD
1.1.1.201,NAD
1.1.1.202,NAD
1.1.1.203,NAD
1.1.1.205,NAD
1.1.1.206,NAD
1.1.1.207,NAD
1.1.1.208,NAD
1.1.1.209,NAD
1.1.1.21,NAD
1.1.1.210,NAD
1.1.1.211,NAD
1.1.1.212,NAD
1.1.1.213,NAD
1.1.1.214,NAD
1.1.1.215,HEA
1.1.1.215,FAD
1.1.1.215,NAD
1.1.1.216,NAD
1.1.1.217,NAD
1.1.1.218,NAD
1.1.1.219,NAD
1.1.1.22,NAD
1.1.1.220,NAD
1.1.1.221,NAD
1.1.1.222,NAD
1.1.1.223,NAD
1.1.1.224,NAD
1.1.1.225,NAD
1.1.1.226,NAD
1.1.1.227,NAD
1.1.1.228,NAD
1.1.1.229,NAD
1.1.1.23,NAD
1.1.1.230,NAD
1.1.1.231,NAD
1.1.1.232,NAD
1.1.1.233,NAD
1.1.1.234,NAD
1.1.1.235,NAD
1.1.1.236,NAD
1.1.1.237,NAD
1.1.1.238,NAD
1.1.1.239,NAD
1.1.1.24,NAD
1.1.1.240,NAD
1.1.1.241,NAD
1.1.1.243,NAD
1.1.1.244,NAD
1.1.1.245,NAD
1.1.1.246,NAD
1.1.1.247,NAD
1.1.1.248,NAD
1.1.1.25,NAD
1.1.1.250,NAD
1.1.1.251,NAD
1.1.1.252,NAD
1.1.1.254,NAD
1.1.1.255,NAD
1.1.1.256,NAD
1.1.1.257,NAD
1.1.1.258,NAD
1.1.1.259,B12
1.1.1.259,NAD
1.1.1.26,NAD
1.1.1.260,NAD
1.1.1.261,NAD
1.1.1.262,NAD
1.1.1.263,NAD
1.1.1.264,NAD
1.1.1.265,NAD
1.1.1.266,NAD
1.1.1.267,NAD
1.1.1.268,NAD
1.1.1.269,NAD
1.1.1.27,FMN
1.1.1.27,NAD
1.1.1.270,NAD
1.1.1.271,NAD
