id,name,code,account_type,reconcile,chart_template_id/id
account_sc_11500000,Reserves per pèrdues i guanys actuarials i altres ajustos,11500000,liability_non_current,,somconnexio.account_chart_template_sc
account_sc_12000017,Romanent exercici 2017,12000017,liability_non_current,,somconnexio.account_chart_template_sc
account_sc_12000018,Romanent exercici 2018,12000018,liability_non_current,,somconnexio.account_chart_template_sc
account_sc_12100015,Resultat negatiu exercici 2015,12100015,liability_non_current,,somconnexio.account_chart_template_sc
account_sc_12100016,Resultat negatiu exercici 2016,12100016,liability_non_current,,somconnexio.account_chart_template_sc
account_sc_12100017,Resultat negatiu exercici 2017,12100017,liability_non_current,,somconnexio.account_chart_template_sc
account_sc_13200001,Subv. Generalitat Catalunya projecte Singulars,13200001,liability_non_current,,somconnexio.account_chart_template_sc
account_sc_13200002,Subv. Ajuntament Barcelona Prom. i reforç E.S.,13200002,liability_non_current,,somconnexio.account_chart_template_sc
account_sc_14000000,Provisió per retribucions a llarg termini personal,14000000,liability_non_current,,somconnexio.account_chart_template_sc
account_sc_14800000,"Fons d'Educació, formació i promoció, llarg termini",14800000,liability_non_current,,somconnexio.account_chart_template_sc
account_sc_15600000,Capital reemborsable a L/P,15600000,liability_non_current,,somconnexio.account_chart_template_sc
account_sc_20100001,Desarrollo DOXSER,20100001,asset_fixed,,somconnexio.account_chart_template_sc
account_sc_20100002,Desarrollo ERP,20100002,asset_fixed,,somconnexio.account_chart_template_sc
account_sc_20100003,Desarrollo WEB,20100003,asset_fixed,,somconnexio.account_chart_template_sc
account_sc_20100004,Campaña CHOQUE,20100004,asset_fixed,,somconnexio.account_chart_template_sc
account_sc_20100005,Desarrollo ADSL Orange,20100005,asset_fixed,,somconnexio.account_chart_template_sc
account_sc_20100006,Desarrollo ADSL Guifi.net,20100006,asset_fixed,,somconnexio.account_chart_template_sc
account_sc_20100007,Desarrollo IP fija,20100007,asset_fixed,,somconnexio.account_chart_template_sc
account_sc_20101701,Desenv. nova marca Som Connexió 2017,20101701,asset_fixed,,somconnexio.account_chart_template_sc
account_sc_20101703,Desarrollo nova WEB 2017,20101703,asset_fixed,,somconnexio.account_chart_template_sc
account_sc_20101704,Desenv. ERP 2017,20101704,asset_fixed,,somconnexio.account_chart_template_sc
account_sc_20101803,Desarrollo nova WEB 2018,20101803,asset_fixed,,somconnexio.account_chart_template_sc
account_sc_20101804,Desenv. ERP 2018,20101804,asset_fixed,,somconnexio.account_chart_template_sc
account_sc_20101805,Desenv. ERP Opencell 2018,20101805,asset_fixed,,somconnexio.account_chart_template_sc
account_sc_20101901,Desenv. OTRS 2019,20101901,asset_fixed,,somconnexio.account_chart_template_sc
account_sc_20101903,Desarrollo nova WEB 2019,20101903,asset_fixed,,somconnexio.account_chart_template_sc
account_sc_20102001,Desenv. Oficina Virtual 2020,20102001,asset_fixed,,somconnexio.account_chart_template_sc
account_sc_20601801,Aplicació gestió tiquets (Exevi SL),20601801,asset_fixed,,somconnexio.account_chart_template_sc
account_sc_21301701,Plegadora 2017,21301701,asset_fixed,,somconnexio.account_chart_template_sc
account_sc_21500001,Terminal centraleta,21500001,asset_fixed,,somconnexio.account_chart_template_sc
account_sc_21601801,Mobiliari 2018,21601801,asset_fixed,,somconnexio.account_chart_template_sc
