T[K],M[A/m]
0,892184.691211015
10,891969.674700433
20,891513.7683232243
30,890894.5921475239
40,890083.5962632131
50,889199.441234223
60,888171.6444699478
70,887053.7370518604
80,885671.7429651746
90,884395.9188567428
100,883079.9464372066
110,881495.4264256158
120,879788.6771113292
130,877788.399033634
140,875834.514559882
150,874081.3716416523
160,872049.8670997648
170,869912.1925796232
180,867442.6253543511
190,865562.7922099696
200,863209.2089945548
210,860457.7114068602
220,857763.3136394029
230,855296.4229682044
240,852466.4131276831
250,849523.9880160692
260,846414.7243671987
270,842904.8697919745
280,840148.9112808238
290,836734.5204675592
300,833918.7855820972
310,830963.8698848063
320,827691.3364374443
330,824071.7431452012
340,819584.0541484099
350,816187.5070289696
360,812565.2371826528
370,809168.6900632124
380,805466.1235946867
390,800465.428400449
400,796733.4198371134
410,791036.820583731
420,787268.2324480556
430,784894.1289847431
440,777771.8185948057
450,774073.713049736
460,767972.9541312351
470,764328.3796676381
480,758786.1283658353
490,752673.7710463486
500,746867.4330759473
510,739287.4319394184
520,734194.8417219861
530,730168.4122105507
540,722195.8498098891
550,716598.2830572312
560,712643.2283210928
570,704576.0943431627
580,696401.8982022874
590,692470.9324528116
600,680049.937181772
610,676438.3735517497
620,666863.447445673
630,656975.3645129815
640,651927.3835301095
650,640064.0036910768
660,630156.2926951784
670,624160.8115702403
680,609419.2439173608
690,603364.8786028029
700,595334.3241972125
710,584191.8295886781
720,572021.5382158686
730,561564.2414501844
740,543284.2693119618
750,533357.8224375481
760,514577.3346875562
770,508894.118204542
780,485029.9620840298
790,462149.88567792333
800,445504.39589399943
810,414821.27217856137
820,393520.3626758984
830,363208.3877920042
840,334083.91073211184
850,292258.29240813944
860,222773.16428724318
870,150432.15296978047
880,36090.56591039886
890,32874.686190928755
900,19763.853716644648
910,32641.20145723883
920,6222.417222994454
930,14944.80732553747
940,18460.817975130958
950,12186.88600806598
960,10183.931376297252
970,6629.182067411381
980,13175.694301335148
990,9669.140809468496
1000,6273.316359628043
