source;target;name;kind;labels;default;binary;electrical energy;information;material;mechanical energy;spatial;sum
Machinery 1;Machinery 2;ele175-0;edge;s;1;1;False;False;False;False;True;1
Machinery 1;Machinery 4;ele175-1;edge;"s;ME";1;1;False;False;False;True;True;2
Machinery 1;Machinery 7;ele175-2;edge;s;1;1;False;False;False;False;True;1
Machinery 1;Machinery 8;ele175-3;edge;"i;s";1;1;False;True;False;False;True;2
Machinery 1;Rope 1;ele175-4;edge;"s;ME";1;1;False;False;False;True;True;2
Machinery 1;Car Sling Component 1;ele175-5;edge;"s;ME";1;1;False;False;False;True;True;2
Machinery 2;Machinery 1;ele175-6;edge;s;1;1;False;False;False;False;True;1
Machinery 2;Machinery 3;ele175-7;edge;"s;ME";1;1;False;False;False;True;True;2
Machinery 2;Rope 1;ele175-8;edge;"s;ME";1;1;False;False;False;True;True;2
Machinery 3;Machinery 2;ele175-9;edge;"s;ME";1;1;False;False;False;True;True;2
Machinery 3;Machinery 6;ele175-10;edge;"s;EE";1;1;True;False;False;False;True;2
Machinery 3;Machinery 9;ele175-11;edge;s;1;1;False;False;False;False;True;1
Machinery 3;Drive panel 5;ele175-12;edge;EE;1;1;True;False;False;False;False;1
Machinery 4;Machinery 1;ele175-13;edge;"s;ME";1;1;False;False;False;True;True;2
Machinery 4;Machinery 5;ele175-14;edge;"s;ME";1;1;False;False;False;True;True;2
Machinery 4;Machinery 6;ele175-15;edge;"s;EE";1;1;True;False;False;False;True;2
Machinery 4;Machinery 9;ele175-16;edge;s;1;1;False;False;False;False;True;1
Machinery 4;Drive panel 4;ele175-17;edge;EE;1;1;True;False;False;False;False;1
Machinery 4;Drive panel 6;ele175-18;edge;EE;1;1;True;False;False;False;False;1
Machinery 5;Machinery 4;ele175-19;edge;"s;ME";1;1;False;False;False;True;True;2
Machinery 5;Control Panel component 4;ele175-20;edge;EE;1;1;True;False;False;False;False;1
Machinery 6;Machinery 3;ele175-21;edge;"s;EE";1;1;True;False;False;False;True;2
Machinery 6;Machinery 4;ele175-22;edge;"s;EE";1;1;True;False;False;False;True;2
Machinery 6;Machinery 9;ele175-23;edge;s;1;1;False;False;False;False;True;1
Machinery 6;Drive panel 4;ele175-24;edge;"EE;i";1;1;True;True;False;False;False;2
Machinery 6;Drive panel 5;ele175-25;edge;"EE;i";1;1;True;True;False;False;False;2
Machinery 7;Machinery 1;ele175-26;edge;s;1;1;False;False;False;False;True;1
Machinery 7;Machinery 9;ele175-27;edge;s;1;1;False;False;False;False;True;1
Machinery 7;Machinery 10;ele175-28;edge;s;1;1;False;False;False;False;True;1
Machinery 8;Machinery 1;ele175-29;edge;"i;s";1;1;False;True;False;False;True;2
Machinery 8;Machinery 10;ele175-30;edge;s;1;1;False;False;False;False;True;1
Machinery 8;Drive panel 2;ele175-31;edge;i;1;1;False;True;False;False;False;1
Machinery 8;Drive panel 3;ele175-32;edge;EE;1;1;True;False;False;False;False;1
Machinery 8;Drive panel 6;ele175-33;edge;i;1;1;False;True;False;False;False;1
Machinery 8;Electrical system 13;ele175-34;edge;i;1;1;False;True;False;False;False;1
Machinery 9;Machinery 3;ele175-35;edge;s;1;1;False;False;False;False;True;1
Machinery 9;Machinery 4;ele175-36;edge;s;1;1;False;False;False;False;True;1
Machinery 9;Machinery 6;ele175-37;edge;s;1;1;False;False;False;False;True;1
Machinery 9;Machinery 7;ele175-38;edge;s;1;1;False;False;False;False;True;1
Machinery 9;Machinery 10;ele175-39;edge;s;1;1;False;False;False;False;True;1
Machinery 9;Machinery isolation;ele175-40;edge;s;1;1;False;False;False;False;True;1
Machinery 9;Rope guards/rope retainer;ele175-41;edge;s;1;1;False;False;False;False;True;1
Machinery 10;Machinery 7;ele175-42;edge;s;1;1;False;False;False;False;True;1
Machinery 10;Machinery 8;ele175-43;edge;s;1;1;False;False;False;False;True;1
Machinery 10;Machinery 9;ele175-44;edge;s;1;1;False;False;False;False;True;1
Machinery 10;Machinery isolation;ele175-45;edge;s;1;1;False;False;False;False;True;1
