# Times to be cut from the light curve in BJD - 2455000 since they correspond to dips in flux at least 5 EBs from 270 sample binaries in the EB catalogue
start,end
-18.6,-18.2
-5.2,-5.0
13.4,13.6
18.6,18.8
32.7,33.5
78.6,79.7
83.5,84.5
87.0,88.4
90.5,91.5
205.4,207.4
424.5,424.8
466.4,467.6
477.1,477.5
492.0,492.2
496.2,496.4
570.2,570.4
573.2,573.7
683.8,684.2
761.2,761.5
762.7,763.2
768.8,769.0
778.7,779.2
802.8,803.3
837.1,838.0
841.2,841.7
845.1,845.5
854.1,854.6
926.3,927.3
929.3,931.0
943.2,943.6
949.2,949.4
976.5,977.0
1011.5,1012.3
1014.0,1016.2
1111.2,1112.0
1128.0,1130.0
1141.8,1142.3
1162.6,1163.0
1290.6,1291.0
1390.2,1390.6
1404.2,1404.6
