Run,Best_Fitness
1,5.632714951593192e+01
2,7.420463635725827e+01
3,9.465837966038112e+01
4,1.191276191691502e+02
5,1.417213882031508e+02
6,6.171832810047724e+01
7,1.033181161759802e+02
8,1.300852249269463e+02
9,1.247029805000095e+02
10,1.161821241888364e+02
11,1.024439218273464e+02
12,5.307260049808679e+01
13,1.002836586876450e+02
14,8.743989336583104e+01
15,5.046187731549520e+01
16,1.304941098600943e+02
17,9.367272005547306e+01
18,7.203671458640076e+01
19,1.123762159337205e+02
20,1.066363979294403e+02
21,7.849681909886147e+01
22,8.546538079059471e+01
23,7.317352477640958e+01
24,9.620282500418190e+01
25,6.113935414910392e+01
26,6.160705893976274e+01
27,8.737724484689289e+01
28,7.205701206300404e+01
29,9.973984447778534e+01
30,5.884347582630147e+01

Statistics
Mean,9.016888656101847e+01
Median,9.055630671065205e+01
Std,2.507125972703171e+01
Min,5.046187731549520e+01
Max,1.417213882031508e+02
