node number,sensor number,x,y,z,direction,node link 1,node link 2
1,1,0,0,8.95,1,1,2
1,2,0,0,8.95,2,2,3
2,3,0,0,8,1,3,4
2,4,0,0,8,2,4,5
3,5,0,0,7,1,5,6
3,6,0,0,7,2,6,7
4,7,0,0,5.95,1,7,8
4,8,0,0,5.95,2,8,9
5,9,0,0,5,1,9,10
5,10,0,0,5,2,,
6,11,0,0,4,1,,
6,12,0,0,4,2,,
7,13,0,0,2.95,1,,
7,14,0,0,2.95,2,,
8,15,0,0,2,1,,
8,16,0,0,2,2,,
9,17,0,0,1,1,,
9,18,0,0,1,2,,
10,10,0,0,0,0,,
