name,symbol,exchange,default_index
Reliance Industries,RELIANCE,NSE,NIFTY 50
HDFC Bank,HDFCBANK,NSE,NIFTY 50
TCS,TCS,NSE,NIFTY 50
Infosys,INFY,NSE,NIFTY 50
ICICI Bank,ICICIBANK,NSE,NIFTY 50
Mahindra & Mahindra,M&M,NSE,NIFTY 50
Bajaj Auto,BAJAJ-AUTO,NSE,NIFTY 50
Maruti Suzuki,MARUTI,NSE,NIFTY 50
Axis Bank,AXISBANK,NSE,NIFTY 50
ITC,ITC,NSE,NIFTY 50
Persistent Systems,PERSISTENT,NSE,NIFTY Midcap 150
Tata Elxsi,TATAELXSI,NSE,NIFTY Midcap 150
Polycab India,POLYCAB,NSE,NIFTY Midcap 150
Mankind Pharma,MANKINDPHAR,NSE,NIFTY Midcap 150
Voltas,VOLTAS,NSE,NIFTY Midcap 150
