kegg_id	smiles
C00020	C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O)N
C00002	C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N
C00008	C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)O)O)O)N
C00026	C(CC(=O)O)C(=O)C(=O)O
C00080	[H+]
C00009	OP(=O)(O)O
C00042	C(CC(=O)O)C(=O)O
C00256	C[C@H](C(=O)O)O
C00058	C(=O)O
C00122	C(=C/C(=O)O)\C(=O)O
C00025	C(CC(=O)O)[C@@H](C(=O)O)N
C00001	O
C00149	C([C@@H](C(=O)O)O)C(=O)O
C00014	N
