Name,Type,Coeff,Unit,h2_dri_eaf,h2_dri,ng_dri_eaf,ng_dri,h2_eaf,ng_eaf
Dollar Year,all,-,-,2022.0,2022.0,2022.0,2022.0,2022.0,2022.0
EAF & Casting,capital,lin,$,352191.52401693846,1.0000000000000423e-10,348441.822712761,1.0000000000000493e-10,352191.52401693846,348441.822712761
Shaft Furnace,capital,lin,$,489.6806055207384,498.40115875153936,12706.355407489165,12706.355407489165,1.0000000000000423e-10,1.0000000000000493e-10
Reformer,capital,lin,$,0.0,0.0,12585.824569411547,12585.824569411547,0.0,1.0000000000000493e-10
Recycle Compressor,capital,lin,$,0.0,0.0,956.7744259199501,956.7744259199501,0.0,1.0000000000000493e-10
Oxygen Supply,capital,lin,$,1715.2150856111075,1364.5561234251998,1204.9890859895831,1024.5621894371047,393.8307342018581,201.31538578767027
H2 Pre-heating,capital,lin,$,45.691227892080846,45.691227892080846,0.0,0.0,1.0000000000000423e-10,0.0
Cooling Tower,capital,lin,$,2513.0831352601745,2349.1522627637223,1790.4037306003052,1774.6459078322134,195.45026173489256,428.907233937993
Piping,capital,lin,$,11815.727185705,172.8340136881622,25651.756587058124,3917.3482323406975,49970.8966283462,51294.53419198649
Electrical & Instrumentation,capital,lin,$,7877.15146041425,115.22267582877082,17101.1710703832,2611.5654909388777,33313.9311345246,34196.35613320214
"Buildings, Storage, Water Service",capital,lin,$,1097.8187596188288,630.5313008617629,1077.3955282629765,618.801234657034,467.28745875705994,458.59429360591184
Other Miscellaneous Cost,capital,lin,$,7877.15146041425,115.22267582877082,17101.1710703832,2611.5654909388777,32124.800203417988,34196.35613320214
EAF & Casting,capital,exp,-,0.45599999994205614,-3.208623172686777e-15,0.4559999998991816,-3.5137286842850213e-15,0.45599999994205614,0.4559999998991816
Shaft Furnace,capital,exp,-,0.8874110806752245,0.8862693772994409,0.6540835087553919,0.6540835087553919,-3.208623172686777e-15,-3.5137286842850213e-15
Reformer,capital,exp,-,0.0,0.0,0.6504523630280983,0.6504523630280983,0.0,-3.5137286842850213e-15
Recycle Compressor,capital,exp,-,0.0,0.0,0.7100000000012111,0.7100000000012111,0.0,-3.5137286842850213e-15
Oxygen Supply,capital,exp,-,0.6457441946722592,0.6342724916068043,0.6448555996459645,0.6370664161269142,0.6699999996017922,0.6699999991468166
H2 Pre-heating,capital,exp,-,0.8656365854575351,0.8656365854575351,0.0,0.0,-3.208623172686777e-15,0.0
Cooling Tower,capital,exp,-,0.6332532740097315,0.6286978709250869,0.6302820063981879,0.6308163319151925,0.665979726443185,0.2599998698160119
Piping,capital,exp,-,0.5998309612457832,0.8331608480295302,0.5641056316548696,0.6551154484929362,0.4619607653395523,0.45807183935606327
Electrical & Instrumentation,capital,exp,-,0.5998309612151184,0.8331608479997338,0.5641056316058727,0.6551154484197816,0.46196076523826657,0.4580718393497376
"Buildings, Storage, Water Service",capital,exp,-,0.7999999998942425,0.7999999999824305,0.7999999998654145,0.7999999999666231,0.7999999997752475,0.7999999997288543
Other Miscellaneous Cost,capital,exp,-,0.5998309612151184,0.8331608479997338,0.5641056316058727,0.6551154484197816,0.4638975364898229,0.4580718393497376
Preproduction,owner,lin,frac of TPC,0.02,0.02,0.02,0.02,0.02,0.02
Spare Parts,owner,lin,frac of TPC,0.005,0.005,0.005,0.005,0.005,0.005
"Initial Catalyst, Sorbent & Chemicals",owner,lin,frac of TPC,0.0,0.0,0.250835587,0.250835587,0.0,0.250835587
Land,owner,lin,frac of TPC,0.775,0.775,0.775,0.775,0.775,0.775
Other Owners's Costs,owner,lin,frac of TPC,0.15,0.15,0.15,0.15,0.15,0.15
Processing Steps,fixed opex,lin,-,29.0,14.5,29.0,14.5,14.5,14.5
% Skilled Labor,fixed opex,lin,%,35.0,35.0,35.0,35.0,35.0,35.0
% Unskilled Labor,fixed opex,lin,%,65.0,65.0,65.0,65.0,65.0,65.0
Annual Operating Labor Cost,fixed opex,lin,hr/day/step/(kg/day),4.42732,4.42732,4.42732,4.42732,4.42732,4.42732
Annual Operating Labor Cost,fixed opex,exp,-,0.25242,0.25242,0.25242,0.25242,0.25242,0.25242
Maintenance Labor Cost,fixed opex,lin,frac of TPC,0.00863,0.00637674,0.007877171,0.007877171,0.00225326,0.007877171
Administrative & Support Labor Cost,fixed opex,lin,frac of O&M labor,0.25,0.25,0.25,0.25,0.0,0.0
Property Tax & Insurance,fixed opex,lin,frac of TPC,0.02,0.02,0.02,0.02,0.0,0.0
Maintenance Materials,variable opex,lin,$/mtpy steel,7.72,2.394841843,8.82,3.72863263,5.325158157,5.09136737
