Old Class ,New Class,Needs to Be Addressed
Model,AbstractIIIFResource,
,AccompanyingCanvas1,X
,AccompanyingCanvas2,X
,AccompanyingCanvas3,X
,AccompanyingCanvas4,X
Body,BodyItem,
,AnnotationCollectionRef,
,AnnotationPageRef,
,Canvas1,X
,Canvas2,X
,Canvas3,X
,Canvas4,X
,Canvas5,X
,Canvas6,X
,Canvas7,X
,PlaceholderCanvas1,X
,PlaceholderCanvas2,X
,PlaceholderCanvas3,X
,PlaceholderCanvas4,X
Provider,Providers,
ProviderItem,Provider,
,PlaceholderCanvas5,X
,PlaceholderCanvas6,X
,PlaceholderCanvas7,X
,AccompanyingCanvas5,X
,AccompanyingCanvas6,X
,AccompanyingCanvas7,X
ResourceItem,AnnotationBody,
ResourceItem1,Textual Body,
ServiceItem,ServiceV3,
ServiceItem1,ServiceV2,
Homepage,Homepages,
HomepageItem,Homepage,
SelectorItem,PointSelector,
SelectorItem1,FragmentSelector,
SelectorItem2,SVGSelector,
SelectorItem3,ImageAPISelector,
ExternalItem,LinkedResource,
External ,LinkedResources,
Item,,?
