source;target;kind;labels;default;labor_cost;max_duration;min_duration;most_likely_duration;risk
Hub front axle;Wheel front axle;product;mechanical;1;;;;;0.1
Wheel front axle;Hub front axle;product;mechanical;1;;;;;0.1
Steering knuckle front axle;Hub front axle;product;mechanical;1;;;;;0.3
Hub front axle;Steering knuckle front axle;product;mechanical;1;;;;;0.3
Knuckle arm front axle;Steering knuckle front axle;product;mechanical;1;;;;;0.3
Frame front axle;Steering knuckle front axle;product;mechanical;1;;;;;0.3
Angle sensor front axle;Steering knuckle front axle;product;mechanical;1;;;;;0.3
Steering knuckle front axle;Knuckle arm front axle;product;mechanical;1;;;;;0.3
Frame front axle;Knuckle arm front axle;product;mechanical;1;;;;;0.3
Steering actuation cylinder front axle;Knuckle arm front axle;product;mechanical;1;;;;;0.3
Tie rod front axle;Knuckle arm front axle;product;mechanical;1;;;;;0.3
Steering knuckle front axle;Frame front axle;product;mechanical;1;;;;;0.3
Knuckle arm front axle;Frame front axle;product;mechanical;1;;;;;0.3
Knuckle arm front axle;Steering actuation cylinder front axle;product;mechanical;1;;;;;0.3
Servo valve front axle;Steering actuation cylinder front axle;product;hydraulic;1;;;;;0.5
Knuckle arm front axle;Tie rod front axle;product;mechanical;1;;;;;0.3
Steering knuckle front axle;Angle sensor front axle;product;mechanical;1;;;;;0.3
Ecu;Angle sensor front axle;product;software;1;;;;;0.8
Steering actuation cylinder front axle;Servo valve front axle;product;hydraulic;1;;;;;0.5
Filter front axle;Servo valve front axle;product;hydraulic;1;;;;;0.3
Ecu;Engine;product;electrical;1;;;;;0.8
Ecu;Speedometer;product;software;1;;;;;0.8
Servo valve front axle;Ecu;product;electrical;1;;;;;0.8
Pump front axle;Hydraulic oil reservoir;product;hydraulic;1;;;;;0.8
Servo valve front axle;Pump front axle;product;hydraulic;1;;;;;0.3
Cooler front axle;Filter front axle;product;hydraulic;1;;;;;0.5
Hydraulic oil reservoir;Cooler front axle;product;hydraulic;1;;;;;0.8
TBD;Start project;process;default;1;;0;0;0.0;
Start project;Identify affected organizations and roles;process;default;1;;4;2;3.0;
Identify affected organizations and roles;Collect and assign technical requirements;process;default;1;;6;4;5.0;
Start project;Assign project milestones and budgets;process;default;1;;3;1;2.0;
