subformat,fullname,dsname,mimetype,puid
JSON,JSON,JSON document,application/json,fmt/817
JSONLD,JSON-LD,JSON LD document,application/ld+json,fmt/880
JSONSCHEMA,JSON-Schema, JSON Schema document,application/json,fmt/817
JSONL,JSON Lines, JSON lines document,application/json,fmt/817
