Label,Duration,U ppm,Th ppm,238U/206Pb,238U/206Pb2s,207Pb/206Pb,207Pb/206Pb2s,rho,208Pb/232Th,208Pb/232Th2s,BestAge,BestAge_Err,Age68,Age68_Err,Age75,Age75_Err,Age76,Age76_Err,Age82,Age82_Err,Concordance,Start time,U238_ppm_mean,U238_ppm_2SE,U235_ppm_mean,U235_ppm_2SE,Th232_ppm_mean,Th232_ppm_2SE,Si28_ppm_mean,Si28_ppm_2SE,Ca44_ppm_mean,Sr88_ppm_mean,Y89_ppm_mean,La139_ppm_mean,Ce140_ppm_mean,Pr141_ppm_mean,Nd146_ppm_mean,Sm147_ppm_mean,Eu153_ppm_mean,Gd157_ppm_mean,Tb159_ppm_mean,Dy163_ppm_mean,Ho165_ppm_mean,Er166_ppm_mean,Tm169_ppm_mean,Yb172_ppm_mean,Lu175_ppm_mean
EG334_m1_1,9.013,4799.55,43863.6,18.7745868194753,0.452133244357848,0.0582793785023865,0.00147646434865969,-0.144529635883023,0.0162589070442535,0.000529668918527706,332.345759510205,7.90378435516232,334.526535985506,8.05613297875743,361.620024365869,13.1881168732937,540.280586942109,55.4064114267306,325.985779902294,10.6196889511884,0.925077466526159,45422.434377419,4799.55,376.077,8028.17,4131.8,43863.6,3602.83,1334.83,599.259,6226.12,24.358,21400.9,121526,253636,29630.2,107433,24520.7,650.861,16693.2,2045.03,7925.32,992.574,1513.48,144.047,460.511,46.1875
EG334_m1_2,9.049,4003.37,47770.4,19.9115168708953,0.526633287508373,0.0534646178596856,0.00141604158792835,-0.0532153033542541,0.015912403913613,0.000457273186813945,315.579375533404,8.2406568024478,315.885589667561,8.35475607618382,319.69538180807,12.1731992682038,348.565816332895,59.8839195516004,319.093053440404,9.16974570461086,0.988083055441832,45422.4348146412,4003.37,263.9,2031.77,5084.03,47770.4,2764.54,3986.36,539.833,6370.64,71.277,18949.1,108891,237700,26322.8,104613,21292.4,535.76,15049.3,1906.27,6668.08,863.325,1460.94,124.732,485.422,54.7874
EG334_m1_3,9.09,5686.49,58497.5,19.2312264074036,0.384624528148072,0.0559295614995473,0.00157556937699926,-0.371707154382253,0.0162618515223808,0.000444796863085129,325.548784386709,6.44396464267177,326.781236050696,6.53562472101393,342.236731802683,12.9800060654511,449.573314251611,62.5762040329985,326.044342122795,8.91801898469443,0.954839751798187,45422.4352533449,5686.49,265.75,11930.2,6780.65,58497.5,2485.72,4622.43,394.943,7000.77,61.6033,21174.6,106998,238358,26620,107036,22062.7,639.673,15641.7,1946.14,8164.58,972.978,1623.29,161.36,492.494,54.7722
EG334_m1_4,9.048,3772.97,36725.8,18.7244956078209,0.471103570155483,0.0573896012575215,0.00151008807210527,0.191493191655039,0.0163061512743353,0.000496786811202989,333.598950059601,8.28649611523744,335.398568788834,8.43854309834986,357.76928683762,12.1884447936409,506.536127017983,57.8789283723615,326.925391813036,9.96018129401946,0.937471664360783,45422.4356897917,3772.97,212.34,3188.45,4403,36725.8,1844.97,2758.82,343.57,4798.84,19.365,18299.9,118298,243198,28811.8,109660,22290.1,582.783,15554.8,1857.86,7114.73,835.572,1288.44,118.978,403.174,40.6408
EG334_m2_1,9.043,4627.57,49276,18.8085905491151,0.413828356772789,0.0518534889520649,0.00129504787765275,-0.252480322571736,0.0164628204052218,0.000483495501346784,334.473048844744,7.26345798900598,333.937148455235,7.34731616650153,327.002125611411,11.671921548841,278.954497577112,57.1746270708847,330.040976817343,9.69295197441798,1.02120788307066,45422.4361439468,4627.57,332.627,-498.937,4558.54,49276,2780.78,3106.46,576.125,6033.55,15.1738,19502.5,114341,241540,27909.3,112778,22627.3,567.765,16148.4,1954.2,7096.64,893.257,1407.64,118.11,419.545,45.5869
EG334_m2_2,9.045,4275.62,44518.7,18.1149892301563,0.430943608913279,0.0651830863919721,0.00177585139154215,0.140421796754676,0.0170123672769776,0.000506239377859279,341.220219203981,8.03173939589476,346.385649662906,8.2402854368253,408.929942892042,14.0743982406614,780.251511413355,57.2652482200986,340.96569055384,10.146163449629,0.847053769682875,45422.436578206,4275.62,206.79,3010.11,4400.32,44518.7,2777.77,3221.48,712.469,10775.2,166.701,18377.3,114097,239177,28994.7,109258,22690.2,628.861,15767.6,1910.92,6976.44,892.131,1256.75,120.984,385.107,41.6602
EG334_m2_3,9.057,5866.67,63557,18.9529996369141,0.379059992738282,0.0543684966811107,0.00135333553479999,-0.00866075216083956,0.0163413128614956,0.000444145674386392,330.908512829931,6.53927533591078,331.45707388458,6.62914147769161,338.265812302313,10.6799601559795,386.344667738059,55.9067199494707,327.624670997585,8.90461382626783,0.979871632987705,45422.437014537,5866.67,359.375,3495.23,3786.32,63557,3623.67,3512.18,493.433,7663.34,123.466,20792.9,109663,246106,26637.9,107332,22399.6,595.091,15293.1,2032.49,7999.19,964.958,1588.37,143.832,485.345,46.2389
EG334_m5_1,9.128,5260.63,40679.4,18.8057155464604,0.532199556884309,0.0534008397108205,0.00131255129920031,-0.021609211901701,0.0164591205290005,0.000555881475901858,333.868677115543,9.31577324496799,333.986900546657,9.45179033666442,335.354358657848,12.6482251380728,345.866404560812,55.6002329573573,329.9674051354,11.1441415015454,0.995922348775595,45422.4374726505,5260.63,370.139,3020.17,5424.58,40679.4,1637.14,2427.37,486.435,7645.42,41.4879,16602.5,110377,235547,28897.8,99487.5,22102.9,595.236,14600.8,1926.81,6689.47,792.815,1196.9,110.064,347.04,38.402
EG334_m5_2,9.114,3801.99,32616.2,18.9217122600067,0.450763275736388,0.0530042612035371,0.00142275072918703,0.235266271861336,0.0166111665099148,0.000496821278859582,332.020893466416,7.80820734645208,331.991270013298,7.90887581053538,331.488190541632,10.9307774335808,328.979201678268,60.9015990947511,332.99060420391,9.95937387841281,1.00151763919808,45422.4379060301,3801.99,257.323,5448.43,4979.9,32616.2,2094.48,3085.27,576.559,5495.46,83.2904,17454.7,113651,259938,28092.8,111282,22050.2,537.349,14848.2,1932.8,7468.95,893.769,1431.36,120.031,406.151,36.252
EG334_m5_3,9.073,4218.18,36431.2,18.7570244686296,0.523392174835201,0.0568756296630589,0.00136023575015616,0.167468862024815,0.016831732962867,0.000542567506316462,333.247583233733,9.17098046793521,334.831760358321,9.34307696569551,354.545447398773,12.4244415132329,486.714145122335,52.7857041728808,337.375423214748,10.8752285026097,0.944397291842029,45422.4383406366,4218.18,353.824,9523.39,4068.24,36431.2,3298.53,1745.64,515.402,5651.43,35.0204,18960.8,115220,246503,27695.1,101184,22516.6,546.009,14729,1941.2,7138.14,837.737,1272.45,121.408,406.261,40.0245
EG334_m5_4,9.029,5614.33,49544.2,19.395315326909,0.422685627870602,0.0530334147571314,0.00127532520880128,-0.0882224991445435,0.0161766726769001,0.000471854728943594,324.0260804799,6.9725678048969,324.084929743667,7.06284170704088,324.711465333431,10.7918219357054,330.226653522038,54.5488578312595,324.350166126763,9.46091713527096,0.99807048516405,45422.4387782523,5614.33,336.949,7634.96,4307.12,49544.2,3227.74,2918.84,370.405,6478.81,15.6373,19235.5,101740,235440,26319.9,98074,22076.4,555.518,14905.5,1887.69,7617.36,936.313,1365.41,124.32,427.857,41.6662
EG334_m5_5,9.052,4016.18,33975.9,18.6492818116762,0.513186664129105,0.0516105483661644,0.00132478220197917,0.0178998969999517,0.0167886158667597,0.000533165217574525,337.388303383187,9.15375366329648,336.716532036688,9.26568838296177,328.06874673093,12.276372797247,268.193383924939,58.8765701521032,336.518338366021,10.6869961476679,1.02635967428147,45422.4392156366,4016.18,343.531,7847.79,3995.6,33975.9,2751.06,1347.38,459.509,4786.87,11.5816,18581,118329,260871,26862.1,106701,22259,594.635,15847.6,1924.93,7632.21,870.038,1236.33,103.944,379.446,39.0758
