Run,Best_Fitness
1,2.851232329724192e+01
2,8.178557222390353e+01
3,8.465798110821027e+01
4,2.218829107072148e+01
5,8.344634169415059e+01
6,2.949896712681925e+01
7,8.518896725017855e+01
8,1.499438392575420e+02
9,8.437165019254961e+01
10,2.724581841903947e+01
11,2.632657472569900e+01
12,5.780568317325005e+01
13,1.229347863191944e+01
14,2.931050167278801e+01
15,8.626080657720782e+01
16,9.103214340552995e+01
17,2.900708864263261e+01
18,7.321169990250485e+00
19,9.158568887470135e+01
20,1.325661956862787e+02
21,2.119685427664071e+01
22,9.533088487677466e+01
23,8.295069373485794e+01
24,7.819585787381482e+01
25,7.907260745395681e+01
26,2.750210558672679e+01
27,2.874338011167991e+01
28,8.465046338337339e+01
29,7.182815084611852e+00
30,1.796795989225286e+01

Statistics
Mean,5.877142350984346e+01
Median,6.800077052353242e+01
Std,3.764333943417816e+01
Min,7.182815084611852e+00
Max,1.499438392575420e+02
