T[K],M[A/m]
10.0,1639272.0406050582
20.0,1639375.4913180678
40.0,1629109.9974886407
60.0,1618804.7149234405
80.0,1608308.44642653
100.0,1597692.8117223005
120.0,1587021.472787989
140.0,1576206.8944048947
160.0,1565368.4427803366
180.0,1554346.9629712228
200.0,1543229.9901962539
220.0,1531906.1159952655
240.0,1520542.4530585043
250.0,1514956.1145559787
260.0,1509250.4098461343
270.0,1503385.550193198
290.0,1491950.2675320453
310.0,1479981.8158115346
330.0,1467981.5331024057
350.0,1456148.3630835235
370.0,1444132.1648800855
390.0,1431606.6708587531
410.0,1418874.2754114014
430.0,1405958.8517794942
450.0,1393528.8507240172
470.0,1380183.7087457618
490.0,1366997.721710598
510.0,1353159.199408758
530.0,1339583.2827630192
550.0,1325235.464643285
570.0,1311126.3789381883
590.0,1296293.1382420238
610.0,1281237.0806255303
630.0,1265600.1074667517
650.0,1250249.6132055384
670.0,1234525.1048280592
690.0,1217774.047067637
710.0,1200091.9328901276
730.0,1183277.213152469
750.0,1165443.901779022
770.0,1146377.139596613
790.0,1128058.4056467358
810.0,1108681.2913252977
830.0,1086869.1063745532
850.0,1065781.076414877
870.0,1044048.4689356788
890.0,1020732.2697727162
910.0,995935.9296389989
930.0,969261.5611767973
950.0,942356.4180471122
970.0,911663.3872718402
990.0,878965.0042136104
1010.0,844937.6773805631
1030.0,808204.7165149536
1050.0,766450.417194795
1070.0,720597.8780900199
1090.0,664272.9437297982
1110.0,601223.7130239438
1130.0,523094.5514601324
1150.0,407754.96420143585
1170.0,171823.6765620102
1190.0,49003.80697799458
1210.0,30979.509672837426
1230.0,24024.438659721603
1250.0,20817.46655641991
1270.0,17053.452152296588
1290.0,15780.212607561423
1310.0,14578.592787217613
1330.0,13249.649012400288
1350.0,12533.451768486759
1370.0,11634.226340017549
1390.0,11244.296729442405
1410.0,10520.141738374283
1430.0,10026.761414789406
1450.0,9803.944494460753
1470.0,9469.719113967773
1490.0,9358.310653803446
1510.0,8809.226100136408
1530.0,8554.578191189374
1550.0,8284.014787933153
1570.0,8164.648580614231
1600.0,7933.873913130982
