Run,Best_Fitness
1,1.017053157520560e-02
2,2.339128118943246e-02
3,2.064903966947479e-02
4,4.607880665903183e-03
5,2.828245848429823e-02
6,1.336183067372367e-02
7,6.131709266297499e-03
8,1.224129742469763e-02
9,1.512275429673754e-02
10,1.472014148934685e-02
11,1.870343860036087e-02
12,6.817591706090430e-03
13,6.293973782333031e-04
14,2.364104607350642e-02
15,1.510082413565438e-02
16,1.816833283157349e-02
17,1.222733697161856e-02
18,4.854866356089305e-03
19,6.533677453800564e-03
20,4.459040260684996e-02
21,2.996338410051498e-02
22,1.144929392246421e-01
23,2.792604087738313e-02
24,4.864579606928341e-03
25,1.600611353199612e-02
26,1.014351882247398e-02
27,6.213197341340169e-03
28,8.593454055990828e-02
29,3.787410552022752e-02
30,4.876621095266739e-02

Statistics
Mean,2.273768231289923e-02
Median,1.511178921619596e-02
Std,2.402927663352210e-02
Min,6.293973782333031e-04
Max,1.144929392246421e-01
