name;kind
Wheel front axle;component
Hub front axle;component
Steering knuckle front axle;component
Knuckle arm front axle;component
Frame front axle;component
Steering actuation cylinder front axle;component
Tie rod front axle;component
Angle sensor front axle;component
Servo valve front axle;component
Engine;component
Speedometer;component
ECU;component
Hydraulic oil reservoir;component
Wheel second axle;component
Hub second axle;component
Steering knuckle second axle;component
Knuckle arm second axle;component
Frame second axle;component
Steering actuation cylinder second axle;component
Tie rod second axle;component
Angle sensor second axle;component
Servo valve second axle;component
Pump front axle;component
Filter front axle;component
Cooler front axle;component
Pump second axle;component
Filter second axle;component
Cooler second axle;component
