Run,Best_Fitness
1,2.662457437343754e+00
2,1.648328003641418e+00
3,2.582073128623508e-02
4,2.220819094359332e+00
5,4.718588598449402e-02
6,1.156551253433723e+00
7,6.725570379796406e-01
8,2.571681179115441e-01
9,1.781239058325785e+00
10,9.316137269685538e-01
11,8.960835216600005e-02
12,2.585352904178295e-02
13,9.325803559537289e-01
14,9.340354600094369e-01
15,9.384166100067550e-01
16,4.278138655477592e-02
17,1.188897997588616e-01
18,1.156136191542754e+00
19,1.779875663222893e+00
20,2.992340480977207e-02
21,1.209201849038921e-02
22,2.221673229493309e+00
23,1.159562711174786e+00
24,1.504193727396804e+00
25,1.502073729489727e+00
26,1.780970398153923e+00
27,2.738986195066833e+00
28,6.383572938381907e-01
29,7.266536151228036e-01
30,9.322899622432286e-01

Statistics
Mean,1.022289799359041e+00
Median,9.333079079815829e-01
Std,8.106786946725536e-01
Min,1.209201849038921e-02
Max,2.738986195066833e+00
