name;kind;alias
Hoogwater keren;aspect;a1
Spuimogelijkheid door kolk;aspect;a2
Scheiden zout-zout water;aspect;a3
Eenzijdig kerend;aspect;a4
Tweezijdig kerend;aspect;a5
Enkel kerend;aspect;a6
Dubbel kerend;aspect;a7
Draaideur;aspect;a8
Hefdeur;aspect;a9
Roldeur;aspect;a10
Puntdeur;aspect;a11
Waaierdeur;aspect;a12
Middenhoofd;aspect;a13
Deurschuiven;aspect;a14
Via deur;aspect;a15
Omloopriolen;aspect;a16
Elektromechanisch bewegingswerk deurschuiven;aspect;a17
Elektrohydraulisch bewegingswerk deurschuiven;aspect;a18
Handmatig bewegingswerk deurschuiven;aspect;a19
Elektromechanisch bewegingswerk draaideur;aspect;a20
Elektrohydraulisch bewegingswerk draaideur;aspect;a21
Handmatig bewegingswerk draaideur;aspect;a22
Elektromechanisch bewegingswerk puntdeur;aspect;a23
Elektrohydraulisch bewegingswerk puntdeur;aspect;a24
Handmatig bewegingswerk puntdeur;aspect;a25
Elektromechanisch bewegingswerk hefdeur;aspect;a26
Elektrohydraulisch bewegingswerk hefdeur;aspect;a27
Handmatig bewegingswerk hefdeur;aspect;a28
Elektromechanisch bewegingswerk roldeur;aspect;a29
Elektrohydraulisch bewegingswerk roldeur;aspect;a30
Handmatig bewegingswerk roldeur;aspect;a31
Elektromechanisch bewegingswerk waaierdeur;aspect;a32
Elektrohydraulisch bewegingswerk waaierdeur;aspect;a33
Handmatig bewegingswerk dwaaierdeur;aspect;a34
CEMT 0;aspect;a35
CEMT I;aspect;a36
CEMT II;aspect;a37
CEMT III;aspect;a38
CEMT IV;aspect;a39
CEMT V;aspect;a40
CEMT Va;aspect;a41
CEMT Va (beperkt);aspect;a42
CEMT Vb;aspect;a43
CEMT Vb en VIa;aspect;a44
CEMT VI;aspect;a45
CEMT VIa en VIb;aspect;a46
Elektromechanisch bewegingswerk omloopriool;aspect;a47
Elektrohydraulisch bewegingswerk omloopriool;aspect;a48
Handmatig bewegingswerk omloopriool;aspect;a49
CEMT II (beperkt);aspect;a50
Verval meer dan 9m;aspect;a51
Vierkantkerende puntdeuren;aspect;a52
Kolkbreedte kleiner dan 10m;aspect;a53
Kolkbreedte tussen 10m en 20m;aspect;a54
Kolkbreedte groter dan 20m;aspect;a55
Vloeddeuren;aspect;a56
Verval kleiner dan 3m;aspect;a57
Verval tussen 3m en 6m;aspect;a58
Verval tussen 6m en 9m;aspect;a59
