#KIC,period,bjd0,pdepth,sdepth,pwidth,swidth,sep
3863594,0.0532682,55000,0,-1,0.2618,-1,1
10417986,0.0737309,55000.027476,0.0004,0.0004,0.2465,0.25,0.5027
8912468,0.094838,54953.576945,0.0041,0.0041,0.2515,0.2496,0.5029
8758716,0.1072049,54953.672989,0.0144,0.0143,0.2459,0.2445,0.5021
10855535,0.1127824,54964.629315,0.013,0.013,0.2522,0.2461,0.502
9472174,0.1257653,54953.643178,0.0462,-1,0.2122,-1,1
9612468,0.1334715,54953.603803,0.0011,0.0011,0.2413,0.299,0.5036
6613627,0.1507996,55115.344848,0.0067,0.0067,0.251,0.2529,0.5033
5302006,0.1511712,54980.50904,0.0027,-1,0.262,-1,1
9898401,0.1527742,54964.733972,0.0028,0.0028,0.2471,0.2473,0.5024
7375612,0.1600729,54953.638704,0.0243,0.0242,0.2619,0.2577,0.502
5872696,0.1726132,54953.79871,0.0062,0.0062,0.2498,0.2537,0.5029
7767774,0.1733883,55007.740259,0.0033,0.0033,0.2491,0.2499,0.5025
12350008,0.1845296,55002.014438,0.0017,0.0016,0.1659,0.1724,0.5023
10684673,0.1925563,55026.598808,0.0106,-1,0.2528,-1,1
9532219,0.1981551,55001.945386,0.0664,0.0622,0.1436,0.1064,0.4984
6699679,0.2012033,54953.612834,0.0057,0.0057,0.2486,0.2551,0.5031
6287172,0.2038732,54953.651911,0.0031,0.0031,0.2484,0.2625,0.5039
11825204,0.2096356,54964.746093,0.0234,0.0234,0.2346,0.2422,0.5006
4921906,0.2137324,54964.617446,0.0202,0.0232,0.2594,0.2491,0.514
6387887,0.2169003,54999.968602,0.3156,-1,0.1359,-1,1
8288741,0.2197664,55000.119225,0.001,0.0009,0.1437,0.1326,0.4992
12055255,0.2209394,54964.525184,0.0818,0.069,0.2471,0.2438,0.505
11013201,0.2273937,55001.990706,0.0002,-1,0.2377,-1,1
8108785,0.2288269,54964.6407,0.244,0.1933,0.1122,0.1386,0.5016
1572353,0.2289313,54964.674573,0.0977,0.0785,0.2556,0.2472,0.5036
10288502,0.2301847,54964.677419,0.016,0.0154,0.2397,0.2304,0.5035
10453521,0.2307783,55000,0,-1,0.1768,-1,1
9238207,0.231353,55001.966607,0.0989,0.0725,0.1509,0.1122,0.5076
5166136,0.2339477,54964.809081,0.0115,-1,0.249,-1,1
8555795,0.2345234,55000.099196,0.0029,-1,0.1157,-1,1
6144827,0.2346497,54964.644135,0.0389,0.033,0.1284,0.1481,0.4942
10030943,0.2357801,54953.674633,0.0077,0.0076,0.2576,0.2609,0.5031
10965091,0.2358555,54964.696236,0.3207,0.3521,0.1332,0.1024,0.5015
2715417,0.2364399,54964.666158,0.1005,0.0886,0.1445,0.121,0.5004
11413213,0.2374665,55002.094949,0.2243,0.1933,0.1827,0.1869,0.5013
9077796,0.2380804,54964.645249,0.0579,-1,0.0426,-1,1
6050116,0.2399081,54964.708006,0.3528,0.3354,0.1682,0.1231,0.4979
12458797,0.2413212,55182.791088,0.1207,0.0997,0.25,0.2499,0.4907
6350020,0.2417928,54964.613787,0.0098,0.0093,0.1439,0.1277,0.501
7198474,0.2423046,55000.068173,0.0058,0.0057,0.1534,0.127,0.499
7546791,0.2423615,54964.604015,0.0529,0.0468,0.246,0.2235,0.5084
7871200,0.2429038,54953.67732,0.4105,0.3684,0.1479,0.1103,0.4997
7959612,0.2432138,55000.095587,0.3021,0.2817,0.132,0.1437,0.5027
3972629,0.2442402,54964.812585,0.2229,0.1567,0.168,0.202,0.4953
9345163,0.2451223,54964.757218,0.4462,0.4099,0.1423,0.1163,0.4995
8816790,0.2458562,55001.99946,0.0005,-1,0.1744,-1,1
12216817,0.2462731,55002.067959,0.041,0.041,0.2391,0.241,0.5006
11494583,0.2483419,54964.685201,0.1426,0.1197,0.2462,0.2498,0.4854
4738426,0.2488352,54964.659616,0.0119,0.0129,0.2455,0.2276,0.5122
8122124,0.2492776,54964.612833,0.0172,0.0171,0.2496,0.2529,0.5016
9032671,0.2496079,54953.798542,0.0142,0.0068,0.1634,0.1652,0.5093
5960283,0.2496681,55110.101764,0.0283,0.0256,0.2458,0.2412,0.5139
9412114,0.2502522,55001.893873,0.0303,0.0265,0.1915,0.152,0.5111
9004380,0.2503325,54964.60001,0.0209,0.0196,0.2693,0.2432,0.4856
4857282,0.2507526,54904.264881,0.0018,0.0019,0.1262,0.1509,0.501
12602985,0.2508689,55002.090625,0.0318,0.0229,0.2569,0.2431,0.5153
11336707,0.2512982,54964.637372,0.1037,0.0937,0.2075,0.217,0.5194
12104285,0.2514509,54964.713694,0.229,0.2205,0.1862,0.1429,0.513
8367007,0.251616,54964.933977,0.003,0.0026,0.143,0.1514,0.5037
11769739,0.2524728,54964.659858,0.0587,0.0584,0.1579,0.1355,0.498
4138301,0.2533791,54964.685221,0.023,0.0164,0.2474,0.2501,0.4894
9478836,0.2540637,55002.132513,0.0007,-1,0.1471,-1,1
12508348,0.2556047,54951.660784,0.0041,-1,0.2458,-1,1
5685072,0.2559051,54964.626512,0.5708,0.4809,0.1166,0.1433,0.4993
3839964,0.2561499,54964.791432,0.0952,0.0816,0.1066,0.1418,0.4969
12598713,0.257179,54953.674386,0.0267,0.0232,0.2554,0.2416,0.502
9700154,0.2572534,54964.788932,0.2395,0.1675,0.1782,0.1928,0.5104
9662581,0.2580109,55002.116224,0.3404,0.3135,0.1049,0.1242,0.4987
9777987,0.2585001,55000.067554,0.2564,0.2418,0.125,0.1644,0.5189
2856960,0.2585073,54964.658506,0.0088,0.0098,0.1357,0.1284,0.5042
5611561,0.2586947,55000.00942,0.0961,0.0902,0.1561,0.1375,0.5004
7339345,0.2596643,54964.777196,0.383,0.3851,0.1445,0.1657,0.5011
9288175,0.2609349,54964.740797,0.0058,0.0058,0.2548,0.255,0.5026
9392331,0.2617622,55000.339626,0.0741,0.0694,0.1693,0.1441,0.4983
9239684,0.2618159,54964.790149,0.0024,0.0024,0.2524,0.2462,0.5027
12004834,0.2623168,55002.041,0.1392,0.1191,0.1293,0.1269,0.5007
11284547,0.2624405,54964.534976,0.0396,0.0352,0.2556,0.2381,0.5082
8045121,0.2631774,54953.761215,0.0053,0.0053,0.2533,0.2551,0.5037
6106771,0.2638263,54964.616674,0.3447,0.29,0.144,0.1281,0.5
10557008,0.2654186,54964.637009,0.2709,0.245,0.1511,0.1332,0.5041
5785551,0.2666875,55002.019292,0.3531,0.3493,0.1395,0.1241,0.4997
9388303,0.2667035,55002.002211,0.3314,0.3136,0.1804,0.1193,0.5042
5773205,0.2668707,55000.123267,0.0478,-1,0.2237,-1,1
2437038,0.2676785,54964.980693,0.27,0.2534,0.1849,0.1762,0.5041
7269843,0.2682156,54964.567796,0.228,0.1994,0.1317,0.1491,0.5019
6072578,0.2696718,54862.142079,0.0023,0.0021,0.1344,0.125,0.5018
8028158,0.2710391,55110.129439,0.0183,0.0192,0.2002,0.1398,0.5036
2435971,0.271828,54964.815967,0.0229,0.0174,0.2525,0.2392,0.4695
9026766,0.2721278,54964.846798,0.3376,0.3187,0.1705,0.1409,0.4999
10802917,0.2724524,54999.905793,0.5357,0.4857,0.1316,0.1191,0.4988
3832382,0.2726487,54964.603149,0.4144,0.3154,0.153,0.1242,0.5058
7697065,0.2727656,54964.749102,0.0293,0.0201,0.1617,0.1368,0.4973
9760531,0.2727979,54953.906065,0.0368,0.0368,0.2293,0.2381,0.5008
5956588,0.2729067,55001.906729,0.2549,0.2319,0.1312,0.143,0.4982
9137819,0.2735499,54999.981054,0.3225,-1,0.4384,-1,1
3743834,0.2736148,54964.543136,0.426,0.3373,0.134,0.1216,0.4991
9935311,0.2737752,55001.838876,0.3735,0.3064,0.1652,0.1529,0.5004
11704155,0.2738674,54953.604573,0.1028,0.0957,0.2384,0.2149,0.5133
2448320,0.2741085,55002.065503,0.021,0.0177,0.2451,0.2536,0.5005
