Reference,Deform_rig,Rot_offset_value,Rot_offset_axis,,Controllers
thumb.01.R,thumb_01_r,,,,
thumb.02.R,thumb_02_r,,,,
thumb.03.R,thumb_03_r,,,,
f_index.01.R,index_01_r,,,,
f_index.02.R,index_02_r,,,,
f_index.03.R,index_03_r,,,,
f_middle.01.R,middle_01_r,,,,
f_middle.02.R,middle_02_r,,,,
f_middle.03.R,middle_03_r,,,,
f_ring.01.R,ring_01_r,,,,
f_ring.02.R,ring_02_r,,,,
f_ring.03.R,ring_03_r,,,,
f_pinky.01.R,pinky_01_r,,,,
f_pinky.02.R,pinky_02_r,,,,
f_pinky.03.R,pinky_03_r,,,,
thumb.01.L,thumb_01_l,,,,
thumb.02.L,thumb_02_l,,,,
thumb.03.L,thumb_03_l,,,,
f_index.01.L,index_01_l,,,,
f_index.02.L,index_02_l,,,,
f_index.03.L,index_03_l,,,,
f_middle.01.L,middle_01_l,,,,
f_middle.02.L,middle_02_l,,,,
f_middle.03.L,middle_03_l,,,,
f_ring.01.L,ring_01_l,,,,
f_ring.02.L,ring_02_l,,,,
f_ring.03.L,ring_03_l,,,,
f_pinky.01.L,pinky_01_l,,,,
f_pinky.02.L,pinky_02_l,,,,
f_pinky.03.L,pinky_03_l,,,,
