Label,Na2O,MgO,Al2O3,SiO2,P2O5,K2O,CaO,TiO2,MnO,FeO,Total
Spectrum 1,3.33,1.46,9.32,77.82,0,1.84,0.9,0.75,0.06,3.96,99.35
Spectrum 2,4.18,2.05,13.19,73.44,0.03,2.64,1.13,1.07,0.07,5.81,103.62
Spectrum 3,2.31,6.25,20.73,39.89,0.33,6.35,0.89,3.53,0.83,19.01,100.11
Spectrum 4,1.89,4.06,20.62,38.54,0.74,2.2,2.01,3.73,4.62,24.5,102.9
Spectrum 5,3.8,3.97,21.22,43.56,0.31,3.65,1.48,3.29,1.84,17.02,100.15
Spectrum 6,2.67,4.66,20.09,41,0.3,3.89,1.45,2.93,2.84,20.59,100.42
Spectrum 7,0.57,3.86,19.62,35.74,0.51,1.29,1.99,3.48,6.68,28.32,102.06
Spectrum 8,1.54,6.96,19.39,38.36,0.24,7.05,0.67,3.63,0.97,20.72,99.52
Spectrum 9,3.06,1.39,8.66,80.2,0,1.74,0.85,0.74,0.05,4.08,100.7
