T[K],M[A/m]
0,537694.074443359
10,534210.101533106
20,530764.367526388
40,523250.141788959
60,515738.218213092
80,508258.870223319
100,500540.396712155
120,492131.182646088
140,483755.616315642
160,474766.622593131
180,465115.796887323
200,454004.779167919
220,445207.476572225
240,435913.900297526
260,425917.957552038
280,414302.250108721
300,402869.232340516
320,388787.206061184
340,379379.380085794
360,361089.607611699
380,346183.460114195
400,331512.123229555
420,309325.386176209
440,289791.026682995
460,267567.347500832
480,244087.286010351
500,203117.830414002
520,154867.460657031
525,128531.957801486
530,123413.79484906
535,69795.2177948669
540,38606.544266711
560,8527.8190946651
580,5671.83537322602
600,4545.63319739557
620,3692.62583724735
640,3234.44053330073
660,2939.70207985983
680,2710.10548472072
700,2571.5521900162
720,2332.28679586708
740,2289.83246349423
760,2162.04656916326
780,2067.34541026687
800,2000.64899434909
