name;kind
Wheel front axle;component
Hub front axle;component
Steering knuckle front axle;component
Knuckle arm front axle;component
Frame front axle;component
Tie rod front axle;component
Angle sensor front axle;component
Electric steering motor front axle;component
Battery Box;component
Speedometer;component
ECU;component
Wheel second axle;component
Hub second axle;component
Steering knuckle second axle;component
Knuckle arm second axle;component
Frame second axle;component
Tie rod second axle;component
Angle sensor second axle;component
Electric steering motor second axle;component
