client,url,is_original
AUSPASS,http://auspass.edu.au,True
BGR,http://eida.bgr.de,True
EARTHSCOPE,https://service.earthscope.org,False
EIDA,http://eida-federator.ethz.ch,True
EMSC,http://www.seismicportal.eu,True
ETH,http://eida.ethz.ch,True
GEOFON,https://geofon.gfz.de,True
GEONET,http://service.geonet.org.nz,True
GFZ,https://geofon.gfz.de,True
ICGC,http://ws.icgc.cat,True
IESDMC,http://batsws.earth.sinica.edu.tw,True
INGV,http://webservices.ingv.it,True
IPGP,http://ws.ipgp.fr,True
IRIS,http://service.iris.edu,True
IRISPH5,http://service.iris.edu,True
ISC,http://www.isc.ac.uk,True
KNMI,http://rdsa.knmi.nl,True
KOERI,http://eida.koeri.boun.edu.tr,True
LMU,https://erde.geophysik.uni-muenchen.de,True
NCEDC,https://service.ncedc.org,True
NIEP,http://eida-sc3.infp.ro,True
NOA,http://eida.gein.noa.gr,True
ODC,http://www.orfeus-eu.org,True
ORFEUS,http://www.orfeus-eu.org,True
RASPISHAKE,https://data.raspberryshake.org,True
RESIF,http://ws.resif.fr,True
RESIFPH5,http://ph5ws.resif.fr,True
SCEDC,http://service.scedc.caltech.edu,True
TEXNET,http://rtserve.beg.utexas.edu,True
UIB-NORSAR,http://eida.geo.uib.no,True
USGS,http://earthquake.usgs.gov,True
USP,http://sismo.iag.usp.br,True
