id,nominal_diameter,thickness,circumscribed_diameter,inscribed_diameter,bearing_diameter
M36,0.036,0.036,0.06079,0.055,0.066
M42,0.042,0.042,0.0713,0.065,0.078
M48,0.048,0.048,0.0826,0.075,0.092
M56,0.056,0.056,0.09356,0.085,0.105
M64,0.064,0.064,0.10486,0.095,0.115
M72,0.072,0.072,0.11616,0.105,0.125
M80,0.08,0.08,0.12746,0.115,0.14
