T[K],M[A/m]
0,854581.787352864
10,848234.678323642
30,833313.991161539
50,818614.185053585
70,803734.803611551
90,788936.887247534
110,772244.13058613
130,755992.649975485
150,739508.833860342
170,723477.972933282
190,708896.971210463
210,690861.489763526
230,669751.639345714
250,648305.239935391
270,630832.585607997
290,612577.832599334
310,589512.861578181
330,571252.936183612
350,548149.818816405
370,520399.899650282
390,497661.531783849
410,464222.666767768
430,419361.7466802
450,380168.383618069
470,309579.552904957
490,147692.375934765
510,17515.5543620521
530,10337.6228680369
550,8260.00961991658
570,6388.19373067484
590,5663.33295613615
610,4977.15740955993
630,4602.44675559529
650,4325.27846365402
670,3849.68536112559
690,3722.85271773487
710,3497.0217407137
730,3431.02374273222
750,3214.74740513553
770,3038.6774125752
800,2908.52497783909
