shell_radius,shell_thickness,gap_angle,shell_stiffness
1.5,0.01,10,4630000000
1.5,0.01,20,2402000000
1.5,0.01,30,1350000000
1.5,0.01,40,891000000
1.5,0.01,50,653000000
1.5,0.01,60,458000000
1.5,0.01,70,345000000
1.5,0.01,80,276000000
1.5,0.01,90,212000000
1.5,0.01,100,169000000
1.5,0.01,110,140000000
1.5,0.01,120,111000000
1.5,0.01,130,90000000
1.5,0.01,140,76000000
1.5,0.01,150,60000000
1.5,0.01,160,48000000
1.5,0.01,170,40000000
1.5,0.01,180,31000000
1.5,0.02,10,8651000000
1.5,0.02,20,4719000000
1.5,0.02,30,2803000000
1.5,0.02,40,1931000000
1.5,0.02,50,1462000000
1.5,0.02,60,1052000000
1.5,0.02,70,802000000
1.5,0.02,80,647000000
1.5,0.02,90,495000000
1.5,0.02,100,393000000
1.5,0.02,110,326000000
1.5,0.02,120,256000000
1.5,0.02,130,206000000
1.5,0.02,140,172000000
1.5,0.02,150,135000000
1.5,0.02,160,108000000
1.5,0.02,170,90000000
1.5,0.02,180,69000000
1.5,0.03,10,12531000000
1.5,0.03,20,6925000000
1.5,0.03,30,4182000000
1.5,0.03,40,2933000000
1.5,0.03,50,2257000000
1.5,0.03,60,1654000000
1.5,0.03,70,1276000000
1.5,0.03,80,1037000000
1.5,0.03,90,800000000
1.5,0.03,100,639000000
1.5,0.03,110,530000000
1.5,0.03,120,416000000
1.5,0.03,130,336000000
1.5,0.03,140,280000000
1.5,0.03,150,220000000
1.5,0.03,160,176000000
1.5,0.03,170,145000000
1.5,0.03,180,112000000
1.5,0.04,10,16287000000
1.5,0.04,20,9091000000
1.5,0.04,30,5540000000
1.5,0.04,40,3928000000
1.5,0.04,50,3048000000
1.5,0.04,60,2258000000
1.5,0.04,70,1759000000
1.5,0.04,80,1438000000
1.5,0.04,90,1117000000
1.5,0.04,100,895000000
1.5,0.04,110,744000000
1.5,0.04,120,587000000
1.5,0.04,130,473000000
1.5,0.04,140,395000000
1.5,0.04,150,310000000
1.5,0.04,160,248000000
1.5,0.04,170,205000000
1.5,0.04,180,158000000
1.5,0.05,10,19920000000
1.5,0.05,20,11223000000
1.5,0.05,30,6892000000
1.5,0.05,40,4921000000
1.5,0.05,50,3839000000
1.5,0.05,60,2866000000
1.5,0.05,70,2247000000
1.5,0.05,80,1845000000
1.5,0.05,90,1440000000
1.5,0.05,100,1158000000
1.5,0.05,110,965000000
1.5,0.05,120,762000000
1.5,0.05,130,616000000
1.5,0.05,140,514000000
1.5,0.05,150,403000000
1.5,0.05,160,323000000
1.5,0.05,170,266000000
1.5,0.05,180,205000000
1.5,0.06,10,23364000000
1.5,0.06,20,13316000000
1.5,0.06,30,8237000000
1.5,0.06,40,5910000000
1.5,0.06,50,4630000000
1.5,0.06,60,3477000000
1.5,0.06,70,2738000000
1.5,0.06,80,2256000000
1.5,0.06,90,1767000000
1.5,0.06,100,1426000000
1.5,0.06,110,1190000000
1.5,0.06,120,942000000
1.5,0.06,130,762000000
1.5,0.06,140,635000000
1.5,0.06,150,499000000
1.5,0.06,160,399000000
1.5,0.06,170,328000000
1.5,0.06,180,253000000
1.5,0.07,10,26667000000
1.5,0.07,20,15361000000
1.5,0.07,30,9560000000
1.5,0.07,40,6897000000
1.5,0.07,50,5420000000
1.5,0.07,60,4087000000
1.5,0.07,70,3231000000
1.5,0.07,80,2669000000
1.5,0.07,90,2097000000
1.5,0.07,100,1695000000
1.5,0.07,110,1418000000
1.5,0.07,120,1123000000
1.5,0.07,130,909000000
1.5,0.07,140,758000000
1.5,0.07,150,595000000
1.5,0.07,160,476000000
1.5,0.07,170,392000000
1.5,0.07,180,301000000
1.5,0.08,10,29851000000
1.5,0.08,20,17361000000
1.5,0.08,30,10870000000
1.5,0.08,40,7874000000
1.5,0.08,50,6203000000
1.5,0.08,60,4695000000
1.5,0.08,70,3723000000
1.5,0.08,80,3082000000
1.5,0.08,90,2427000000
1.5,0.08,100,1967000000
1.5,0.08,110,1646000000
1.5,0.08,120,1305000000
1.5,0.08,130,1058000000
1.5,0.08,140,882000000
1.5,0.08,150,693000000
1.5,0.08,160,554000000
1.5,0.08,170,455000000
1.5,0.08,180,349000000
1.5,0.09,10,32787000000
1.5,0.09,20,19342000000
1.5,0.09,30,12165000000
1.5,0.09,40,8842000000
1.5,0.09,50,6983000000
1.5,0.09,60,5299000000
1.5,0.09,70,4214000000
1.5,0.09,80,3494000000
1.5,0.09,90,2757000000
1.5,0.09,100,2238000000
1.5,0.09,110,1875000000
1.5,0.09,120,1488000000
1.5,0.09,130,1207000000
1.5,0.09,140,1006000000
1.5,0.09,150,790000000
1.5,0.09,160,632000000
1.5,0.09,170,519000000
