T[K],M[A/m]
31.5789473684211,1456985.36046193
63.1578947368421,1449449.93657199
94.7368421052632,1437972.77253639
126.315789473684,1422736.58364638
157.894736842105,1403779.39648225
189.473684210526,1381044.11152378
221.052631578947,1354391.97626968
252.631578947368,1323600.99407897
284.21052631579,1288353.67899904
315.789473684211,1248213.31769096
347.368421052632,1202584.11677895
378.947368421053,1150645.20320241
410.526315789474,1091237.80552561
442.105263157895,1022660.54963577
473.684210526316,0942263.95974459
505.263157894737,0845538.33920183
536.842105263158,0723617.755767002
568.421052631579,0553555.214714045
600,0171781.148207053
630,0.0
690,0.0
720,0.0
750,0.0
780,0.0
