source;target;name;labels;adjacency
Structure;Front Panel;k3d000;"Fun Saver;Outdoor;Plus Digital";1
Film Reel;Back Panel;k3d001;"Fun Saver;Outdoor;Plus Digital";1
Structure;Back Panel;k3d002;"Fun Saver;Outdoor";1
Lens;Outer Lens Plate;k3d003;"Fun Saver;Outdoor;Plus Digital";1
Inner Lens Plate;Outer Lens Plate;k3d004;"Fun Saver;Outdoor;Plus Digital";1
Structure;Outer Lens Plate;k3d005;"Fun Saver;Plus Digital";1
Outer Lens Plate;Lens;k3d006;"Fun Saver;Outdoor;Plus Digital";1
Inner Lens Plate;Lens;k3d007;"Fun Saver;Outdoor";1
Outer Lens Plate;Inner Lens Plate;k3d008;"Fun Saver;Outdoor;Plus Digital";1
Lens;Inner Lens Plate;k3d009;"Fun Saver;Outdoor";1
Circuit Board;Inner Lens Plate;k3d010;Fun Saver;1
Structure;Inner Lens Plate;k3d011;"Fun Saver;Outdoor;Plus Digital";1
Film Reel;Film;k3d012;"Fun Saver;Outdoor;Plus Digital";1
Transducer Wheel;Film;k3d013;"Fun Saver;Outdoor;Plus Digital";1
Structure;Film;k3d014;"Fun Saver;Outdoor;Plus Digital";1
Back Panel;Film Reel;k3d015;"Fun Saver;Outdoor;Plus Digital";1
Film;Film Reel;k3d016;"Fun Saver;Outdoor;Plus Digital";1
Advance Wheel;Film Reel;k3d017;"Fun Saver;Outdoor";1
Structure;Film Reel;k3d018;"Fun Saver;Outdoor;Plus Digital";1
Structure;Image Frame;k3d019;"Fun Saver;Outdoor;Plus Digital";1
Shutter;Shutter Spring;k3d020;"Fun Saver;Outdoor;Plus Digital";1
Circuit Board;Shutter Spring;k3d021;"Fun Saver;Plus Digital";1
Structure;Shutter Spring;k3d022;"Fun Saver;Outdoor";1
Shutter Spring;Shutter;k3d023;"Fun Saver;Outdoor;Plus Digital";1
Shutter Activation Arm;Shutter;k3d024;"Fun Saver;Outdoor;Plus Digital";1
Structure;Shutter;k3d025;"Fun Saver;Outdoor;Plus Digital";1
Circuit Board;Battery;k3d026;"Fun Saver;Plus Digital";1
Structure;Battery;k3d027;"Fun Saver;Plus Digital";1
Inner Lens Plate;Circuit Board;k3d028;Fun Saver;1
Shutter Spring;Circuit Board;k3d029;"Fun Saver;Plus Digital";1
Battery;Circuit Board;k3d030;"Fun Saver;Plus Digital";1
Structure;Circuit Board;k3d031;"Fun Saver;Plus Digital";1
Structure;View Finder;k3d032;"Fun Saver;Outdoor;Plus Digital";1
Counter Wheel;Shutter Release;k3d033;"Fun Saver;Outdoor;Plus Digital";1
Advance Wheel;Shutter Release;k3d034;"Fun Saver;Outdoor;Plus Digital";1
Locking Arm;Shutter Release;k3d035;"Fun Saver;Outdoor;Plus Digital";1
Shutter Activation Arm;Shutter Release;k3d036;"Fun Saver;Outdoor;Plus Digital";1
Operation Shaft;Shutter Release;k3d037;"Fun Saver;Outdoor;Plus Digital";1
Structure;Shutter Release;k3d038;"Fun Saver;Outdoor;Plus Digital";1
Shutter Release;Counter Wheel;k3d039;"Fun Saver;Outdoor;Plus Digital";1
Operation Shaft;Counter Wheel;k3d040;"Fun Saver;Outdoor;Plus Digital";1
Structure;Counter Wheel;k3d041;"Fun Saver;Outdoor;Plus Digital";1
Film Reel;Advance Wheel;k3d042;"Fun Saver;Outdoor";1
Shutter Release;Advance Wheel;k3d043;"Fun Saver;Outdoor;Plus Digital";1
Structure;Advance Wheel;k3d044;"Fun Saver;Outdoor;Plus Digital";1
Shutter Release;Locking Arm;k3d045;"Fun Saver;Outdoor;Plus Digital";1
Locking Arm Spring;Locking Arm;k3d046;"Fun Saver;Outdoor;Plus Digital";1
Shutter Activation Arm;Locking Arm;k3d047;"Fun Saver;Outdoor;Plus Digital";1
Operation Shaft;Locking Arm;k3d048;"Fun Saver;Outdoor;Plus Digital";1
Structure;Locking Arm;k3d049;"Fun Saver;Outdoor;Plus Digital";1
Locking Arm;Locking Arm Spring;k3d050;"Fun Saver;Outdoor;Plus Digital";1
Structure;Locking Arm Spring;k3d051;"Fun Saver;Outdoor;Plus Digital";1
Shutter;Shutter Activation Arm;k3d052;"Fun Saver;Outdoor;Plus Digital";1
Shutter Release;Shutter Activation Arm;k3d053;"Fun Saver;Outdoor;Plus Digital";1
Locking Arm;Shutter Activation Arm;k3d054;"Fun Saver;Outdoor;Plus Digital";1
Shutter Arm Spring;Shutter Activation Arm;k3d055;"Fun Saver;Outdoor;Plus Digital";1
Operation Shaft;Shutter Activation Arm;k3d056;"Fun Saver;Outdoor;Plus Digital";1
Structure;Shutter Activation Arm;k3d057;"Fun Saver;Outdoor;Plus Digital";1
Shutter Activation Arm;Shutter Arm Spring;k3d058;"Fun Saver;Outdoor;Plus Digital";1
Structure;Shutter Arm Spring;k3d059;"Fun Saver;Outdoor;Plus Digital";1
Shutter Release;Operation Shaft;k3d060;"Fun Saver;Outdoor;Plus Digital";1
Counter Wheel;Operation Shaft;k3d061;"Fun Saver;Outdoor;Plus Digital";1
Locking Arm;Operation Shaft;k3d062;"Fun Saver;Outdoor;Plus Digital";1
Shutter Activation Arm;Operation Shaft;k3d063;"Fun Saver;Outdoor;Plus Digital";1
Transducer Wheel;Operation Shaft;k3d064;"Fun Saver;Outdoor;Plus Digital";1
Structure;Operation Shaft;k3d065;"Fun Saver;Outdoor;Plus Digital";1
Film;Transducer Wheel;k3d066;"Fun Saver;Outdoor;Plus Digital";1
Operation Shaft;Transducer Wheel;k3d067;"Fun Saver;Outdoor;Plus Digital";1
Structure;Transducer Wheel;k3d068;"Fun Saver;Outdoor;Plus Digital";1
Front Panel;Structure;k3d069;"Fun Saver;Outdoor;Plus Digital";1
Back Panel;Structure;k3d070;"Fun Saver;Outdoor";1
Outer Lens Plate;Structure;k3d071;"Fun Saver;Plus Digital";1
Inner Lens Plate;Structure;k3d072;"Fun Saver;Outdoor;Plus Digital";1
Film;Structure;k3d073;"Fun Saver;Outdoor;Plus Digital";1
Film Reel;Structure;k3d074;"Fun Saver;Outdoor;Plus Digital";1
Image Frame;Structure;k3d075;"Fun Saver;Outdoor;Plus Digital";1
Shutter Spring;Structure;k3d076;"Fun Saver;Outdoor";1
Shutter;Structure;k3d077;"Fun Saver;Outdoor;Plus Digital";1
Battery;Structure;k3d078;"Fun Saver;Plus Digital";1
Circuit Board;Structure;k3d079;"Fun Saver;Plus Digital";1
View Finder;Structure;k3d080;"Fun Saver;Outdoor;Plus Digital";1
Shutter Release;Structure;k3d081;"Fun Saver;Outdoor;Plus Digital";1
Counter Wheel;Structure;k3d082;"Fun Saver;Outdoor;Plus Digital";1
Advance Wheel;Structure;k3d083;"Fun Saver;Outdoor;Plus Digital";1
Locking Arm;Structure;k3d084;"Fun Saver;Outdoor;Plus Digital";1
Locking Arm Spring;Structure;k3d085;"Fun Saver;Outdoor;Plus Digital";1
Shutter Activation Arm;Structure;k3d086;"Fun Saver;Outdoor;Plus Digital";1
