source;target;name;labels;adjacency
Shutter Arm Spring;Structure;k3d087;"Fun Saver;Outdoor;Plus Digital";1
Operation Shaft;Structure;k3d088;"Fun Saver;Outdoor;Plus Digital";1
Transducer Wheel;Structure;k3d089;"Fun Saver;Outdoor;Plus Digital";1
Front Panel;Front Plate;k3d090;Plus Digital;1
Front Plate;Front Panel;k3d091;Plus Digital;1
Back Panel;Front Panel;k3d092;Plus Digital;1
Front Panel;Back Panel;k3d093;Plus Digital;1
Lens Cover;Lens;k3d094;Plus Digital;1
Structure;Lens;k3d095;Plus Digital;1
Inner Lens;Inner Lens Plate;k3d096;Plus Digital;1
Lens;Lens Cover;k3d097;Plus Digital;1
Structure;Lens Cover;k3d098;Plus Digital;1
Inner Lens Plate;Inner Lens;k3d099;Plus Digital;1
Structure;Inner Lens;k3d100;Plus Digital;1
Advance Wheel;Film;k3d101;Plus Digital;1
Film;Advance Wheel;k3d102;Plus Digital;1
Lens;Structure;k3d103;Plus Digital;1
Lens Cover;Structure;k3d104;Plus Digital;1
Inner Lens;Structure;k3d105;Plus Digital;1
