Reference,Deform_rig,Rot_offset_value,Rot_offset_axis,ue2rigify_template,Controllers
RightArm,upperarm_r,,,,
RightForeArm,lowerarm_r,,,,
RightHand,hand_r,,,,
LeftArm,upperarm_l,,,,
LeftForeArm,lowerarm_l,,,,
LeftHand,hand_l,,,,
Hips,pelvis,,,,
Spine,spine_02,,,,
Spine1,spine_04,,,,
Head,neck_01,,,,
RightUpLeg,thigh_r,,,,
RightLeg,calf_r,,,,
RightFoot,foot_r,,,,
LeftUpLeg,thigh_l,,,,
LeftLeg,calf_l,,,,
LeftFoot,foot_l,,,,
LeftToeBase,ball_l,,,,
RightToeBase,ball_r,,,,
RightShoulder,clavicle_r,,,,
LeftShoulder,clavicle_l,,,,
