T[K],M[A/m]
10,948233.7665586789
30,923004.3576490312
50,899906.2986498125
70,875741.5541281564
90,853936.8175332557
110,829439.5022114813
130,809435.988415893
150,785470.2925454892
170,764497.8815156945
190,742096.4775228009
210,713632.4083913695
230,690142.7787756898
250,667597.2073137148
270,646361.9317125843
290,625148.6900406221
310,598593.7223959048
330,565329.9731494971
350,528515.7423328885
370,495573.980676813
390,454235.2576365606
410,386307.0259166491
430,224728.4366265166
450,34069.90539690135
470,23248.692011208
490,15353.015701346088
510,11991.396417522777
530,10609.68043643203
550,8834.305757538375
570,8282.965328640312
590,7237.546009743225
610,6686.848372873067
630,6364.136585123125
650,5934.034593221059
670,5479.91933496935
700,5185.339549561578
